[00:00.00 - 00:01.40] 上一集中我们提到
[01:15.20 - 01:16.00] 魔OVER
[01:16.00 - 01:17.46] 你就知道第四句话
[01:17.46 - 01:19.94] 第五句话和第三句话是有关联的
[01:19.94 - 01:21.24] 因此我们可以放一期看
[01:21.24 - 01:22.38] 第三句话
[01:22.38 - 01:23.80] 你看到的Riseanly developed
[01:23.80 - 01:25.00] 最近发展的表述
[01:25.00 - 01:25.92] 你就知道
[01:25.92 - 01:27.60] 这里开始就是在讲别人
[01:27.60 - 01:28.98] 针对以上提到的痛点
[01:28.98 - 01:31.42] 也就是新猛电池的循环性能不加
[01:31.42 - 01:32.84] 做了什么工作了
[01:32.84 - 01:35.14] 也就是大家常说的文线宗数部分
[01:35.14 - 01:37.78] 其实我觉得说成文线点评更合适
[01:37.78 - 01:39.70] 因为毕竟这是一篇研究论文
[01:39.70 - 01:41.80] 没有大量的偏符让你去宗数
[01:41.80 - 01:43.26] 这个领域的文线的
[01:43.26 - 01:44.30] 所以你只能选择
[01:44.30 - 01:45.36] 最具代表性的
[01:45.36 - 01:47.40] 和你主题密切相关的这些文线
[01:47.40 - 01:48.30] 去进行分析
[01:48.30 - 01:51.02] 因此说成文线宗数会有所误导
[01:51.02 - 01:53.24] 我这里使用文线点评来表述
[01:53.24 - 01:54.54] 而且有趣的是
[01:54.54 - 01:57.04] 你会发现这里又是符合原则误的
[01:57.04 - 01:59.26] 因为作者关注的就是电解制
[01:59.26 - 02:00.84] 所以这里的文线点评
[02:00.84 - 02:02.52] 也是同样提及了电解制
[02:02.52 - 02:05.08] 使用中性或若酸性电解制
[02:05.08 - 02:06.00] 这里你会发现
[02:06.00 - 02:08.64] 当作者涉及表达同样含义的时候
[02:08.64 - 02:10.12] 会用不同的同意表达
[02:10.12 - 02:12.24] 这也是英文表述中常见的手法
[02:12.24 - 02:12.82] 比如
[02:12.82 - 02:15.12] 你把我们之前的几句话放在一起
[02:15.12 - 02:15.92] 你会发现
[02:15.92 - 02:17.60] 除了标题中的Electrulite
[02:17.60 - 02:18.76] 还出现了condition
[02:18.76 - 02:19.78] environment
[02:19.78 - 02:21.04] 以及这里的死路省
[02:21.04 - 02:23.00] 但其实讲的都是电解制
[02:23.00 - 02:24.78] 那如果全部用Electrulite
[02:24.78 - 02:25.52] 这一个单词
[02:25.52 - 02:26.62] 你可想而知
[02:26.62 - 02:28.40] 神告人或者读者看起来
[02:28.40 - 02:29.24] 就非常单调
[02:29.24 - 02:30.02] 容易皮肤
[02:30.40 - 02:32.40] 继续看目前分析的第三句话
[02:32.40 - 02:33.60] 这句话的主要内容
[02:33.60 - 02:34.88] 由于涉及专业支持
[02:34.88 - 02:36.20] 我们不需要了解
[02:36.20 - 02:37.58] 你只要知道这句话
[02:37.58 - 02:39.32] 是不是和前文呼应就行了
[02:39.70 - 02:40.02] 比如
[02:40.02 - 02:41.36] 前文竟然说了
[02:41.36 - 02:42.76] 普通的简信新网电池
[02:42.76 - 02:43.78] 循环性能不行
[02:43.78 - 02:45.50] 生成的产物可激性弱
[02:45.50 - 02:46.50] 那在第三句话
[02:46.50 - 02:47.46] 给出的文线工作
[02:47.46 - 02:49.20] 应该是要和改善可激性
[02:49.20 - 02:51.64] 提升新网电池循环性能相关的
[02:51.64 - 02:52.84] 比如在这句话中
[02:52.84 - 02:55.18] 确实看到了可激性大幅提升的表述
[02:55.18 - 02:57.56] 而且提及的研究对象是二眼化某
[02:57.56 - 02:58.88] 也是和前两句话
[02:58.88 - 03:01.14] 以及标题中讲述的内容相关的
[03:01.14 - 03:01.78] 但是
[03:01.78 - 03:03.30] 你如果只是告诉读者
[03:03.30 - 03:04.16] 最终的效果
[03:04.16 - 03:05.60] 就是肯定性被提升了
[03:05.60 - 03:06.72] 这还是不够的
[03:06.72 - 03:07.80] 站在读者的角度
[03:07.80 - 03:09.12] 他们是不是还想知道
[03:09.12 - 03:10.20] 为什么提升呢
[03:10.20 - 03:10.78] 也就是说
[03:10.78 - 03:12.48] 这些文线的思路是什么
[03:12.48 - 03:13.62] 你可以理解为
[03:13.62 - 03:15.14] 肯定性大幅提升的结果
[03:15.14 - 03:15.92] 是SoWart
[03:15.92 - 03:17.64] 但你还得补充号的内容
[03:17.64 - 03:18.48] 所以你看
[03:18.48 - 03:20.74] 这句话中的位子就涉及方法了
[03:20.74 - 03:21.80] 是通过使用中性
[03:21.80 - 03:24.02] 或若酸性的电解制来实现的
[03:24.02 - 03:25.24] 但还要考虑到别人
[03:25.24 - 03:26.02] 观看这个
[03:26.02 - 03:27.32] 可能还是不太理解
[03:27.32 - 03:28.72] 为什么换了电解制
[03:28.72 - 03:30.44] 就能提升可激性了呢
[03:30.44 - 03:32.44] 所以还得解释一下这背后的原因
[03:32.44 - 03:33.96] 也就是你可以理解为
[03:33.96 - 03:34.58] 这句话中
[03:34.58 - 03:36.00] 除了补充号的内容外
[03:36.00 - 03:37.42] 还可以补充外的内容
[03:37.42 - 03:38.74] 那么你看这句话
[03:38.74 - 03:39.58] 从读兔开始
[03:39.58 - 03:41.16] 就是在讲原因了
[03:41.16 - 03:43.22] 有的人在做文线点评的时候
[03:43.22 - 03:44.10] 总给人感觉
[03:44.10 - 03:45.30] 每头没脑的
[03:45.30 - 03:46.14] 缺少一些东西
[03:46.54 - 03:47.94] 那么你就可以用号
[03:47.94 - 03:48.58] Y
[03:48.58 - 03:50.30] ZoWart的方式来造剧
[03:50.30 - 03:51.68] 看看你是不是完整
[03:51.68 - 03:52.44] 但是有高度
[03:52.44 - 03:54.48] 不盖扩的给出了作者的研究思路
[03:54.48 - 03:56.06] 效果以及背后的原因
[03:56.50 - 03:57.66] 为什么要高度盖扩
[03:57.66 - 03:59.26] 是因为作为研究性论文
[03:59.26 - 04:00.60] 文线点评部分的
[04:00.60 - 04:01.66] 偏服是有限的
[04:01.66 - 04:02.88] 如果阳阳撒撒撒
[04:02.88 - 04:03.28] 讲太多
[04:03.28 - 04:05.14] 一方面会阴幕重要信息
[04:05.14 - 04:06.94] 另一方面会让人感觉
[04:06.94 - 04:08.72] 你这个人思路不是太清晰
[04:08.72 - 04:11.14] 没有办法补捉到别人文线的重点
[04:11.14 - 04:11.68] 当然
[04:11.68 - 04:14.02] 这里千万不要陷入八股文的境地
[04:14.02 - 04:16.10] 也许在你的领域不一定能以号
[04:16.10 - 04:16.94] 如何做的
[04:16.94 - 04:17.94] Y为什么
[04:17.94 - 04:18.80] ZoWart
[04:18.80 - 04:20.48] 效果如何的方式造剧
[04:20.48 - 04:21.74] 但是你可以偷袭
[04:21.74 - 04:23.40] 你的范本中的文线点评
[04:23.40 - 04:25.00] 主要设计了哪些元素
[04:25.00 - 04:27.52] 比如是不是设计了作者如何做的
[04:27.52 - 04:29.02] 是不是给出了效果
[04:29.02 - 04:30.06] 或者说研究结果
[04:30.06 - 04:31.92] 以及产生这个结果的原因
[04:31.92 - 04:34.32] 或者是不是给出了作者的观点
[04:34.32 - 04:36.62] 以及作者支撑这样观点的证据
[04:36.62 - 04:37.68] 你只用看一下
[04:37.68 - 04:38.76] 文线点评部分
[04:38.76 - 04:39.86] 设计哪些元素
[04:39.86 - 04:41.88] 你可以不用理解这些元素
[04:41.88 - 04:42.92] 具体是什么意思
[04:42.92 - 04:44.00] 你只要知道
[04:44.00 - 04:45.88] 有哪些元素就可以了
[04:45.88 - 04:47.38] 这样你们将来写论文的时候
[04:47.38 - 04:49.24] 就知道自己的文线点评
[04:49.24 - 04:50.36] 也要有这些元素
[04:50.36 - 04:51.58] 我们再来看一看
[04:51.58 - 04:52.48] 这句话的细节
[04:52.48 - 04:54.26] 扩号里面提到了青梨子
[04:54.26 - 04:55.14] 新梨子
[04:55.14 - 04:55.92] 李梨子
[04:55.92 - 04:57.68] 你可以试著把这三个去掉
[04:57.68 - 04:58.68] 去掉之后
[04:58.68 - 04:59.58] 你是不是就觉得
[04:59.58 - 05:01.66] 这句话看上去印象就没那么深了
[05:01.66 - 05:03.56] 只是龙同的提到了梨子的
[05:03.56 - 05:04.76] 可逆插入和拖出
[05:04.76 - 05:06.68] 但对于具体是什么梨子
[05:06.68 - 05:07.58] 也没什么概念
[05:07.58 - 05:09.44] 容易把这句话一黄而过
[05:09.44 - 05:12.20] 一旦补充上这三个具体的梨子之后
[05:12.20 - 05:14.16] 这句话就相对容易吸引眼球
[05:14.16 - 05:15.86] 而且你很快能建立起
[05:15.86 - 05:17.14] 对这个东西的画面感
[05:17.14 - 05:19.18] 这就是我要引出的原则12
[05:19.18 - 05:21.30] 在释当的地方引入画面感
[05:21.30 - 05:23.00] 以降低独者的阅读障碍
[05:23.00 - 05:24.82] 这领了文线8-11
[05:24.82 - 05:27.24] 就说明这句话是从多篇文线中
[05:27.24 - 05:28.34] 盖过出来的
[05:28.34 - 05:29.82] 有的人忽略了文线盖过
[05:29.82 - 05:30.64] 他会说
[05:30.64 - 05:32.04] 文线8的作者等人
[05:32.04 - 05:32.94] 研究了青梨子
[05:32.94 - 05:33.84] 在2-2-2-1中
[05:33.84 - 05:35.14] 欠入和拖出的行为
[05:35.14 - 05:36.90] 文线9的作者等人
[05:36.90 - 05:37.78] 研究了心理子
[05:37.78 - 05:39.74] 在2-2-2-2-1中的欠入和拖出
[05:39.74 - 05:41.50] 文线10的作者等人
[05:41.50 - 05:42.36] 报导了李梨子
[05:42.36 - 05:44.44] 在2-2-2-2-1中的欠入和拖出
[05:44.44 - 05:46.16] 一些人写的文线点评
[05:46.16 - 05:47.74] 会被认为是宗而不数
[05:47.74 - 05:48.72] 也是这个原因
[05:48.72 - 05:49.82] 他只是罗列
[05:49.82 - 05:51.52] 主义罗列了一些文线的工作
[05:51.52 - 05:54.18] 但没有将这些文线的共性和差异性
[05:54.18 - 05:55.20] 进行和病概括
[05:55.20 - 05:56.62] 文线点评部分
[05:56.62 - 05:58.36] 一眼望过去充饰著
[05:58.36 - 05:59.56] 谁报导了什么
[05:59.56 - 06:01.24] 谁谁又做了什么什么
[06:01.24 - 06:02.44] 报导了什么结论
[06:02.44 - 06:04.12] 谁谁做了什么
[06:04.12 - 06:05.26] 报导了什么结论
[06:05.26 - 06:06.64] 这样的文线点评
[06:06.64 - 06:07.74] 一眼看上去
[06:07.74 - 06:09.36] 给人的感觉体验就很差
[06:09.36 - 06:10.94] 别人需要很费力地
[06:10.94 - 06:13.00] 从你一篇篇0-0-3的文线中
[06:13.00 - 06:14.70] 找到这个领域的发展现状
[06:14.70 - 06:17.08] 相当于你给了别人一堆半成品
[06:17.08 - 06:18.38] 别人要自己加工
[06:18.38 - 06:19.62] 从中看出卖落
[06:19.62 - 06:21.16] 但你看翻本这句话
[06:21.16 - 06:22.58] 别人一下子就能理解
[06:22.58 - 06:23.80] 通过将电解制
[06:23.80 - 06:25.94] 从简信改变为弱酸性或中性
[06:25.94 - 06:28.02] 就可以让新猛的反应变得可逆
[06:28.02 - 06:29.86] 比如可以促进清理子
[06:29.86 - 06:30.60] 李梨子
[06:30.60 - 06:31.52] 清理子
[06:31.52 - 06:33.32] 可逆欠入和拖出2-2-1
[06:33.32 - 06:35.40] 当然我不是说不能没有
[06:35.40 - 06:36.98] 谁是谁报导这样的表述
[06:36.98 - 06:39.48] 这个在顶看中也是非常常见的
[06:39.48 - 06:40.74] 你可以理解为当作著
[06:40.74 - 06:41.98] 讲了一个抽象的概念
[06:41.98 - 06:43.36] 之后接上通过这个
[06:43.36 - 06:44.64] 某某报导的具体举例
[06:44.64 - 06:45.88] 可以把抽象的概念
[06:45.88 - 06:47.12] 通过一个具体的文线
[06:47.12 - 06:47.64] 案例
[06:47.64 - 06:48.96] 描述的更为形象
[06:48.96 - 06:50.06] 或者也有可能
[06:50.06 - 06:51.54] 这篇文线是领域的一个
[06:51.54 - 06:52.86] 非常重要的电机性
[06:52.86 - 06:54.08] 或者开脱性文线
[06:54.08 - 06:55.16] 你很有必要
[06:55.16 - 06:56.54] 单独把它拿出来点平
[06:56.54 - 06:58.30] 这个在我们之后的分析中
[06:58.30 - 06:59.06] 还会见到
[06:59.06 - 07:01.06] 包括你在你手头的范本中
[07:01.06 - 07:02.66] 应该也会见到此类情况
[07:02.66 - 07:03.62] 也就是说
[07:03.62 - 07:04.64] 文线点平
[07:04.64 - 07:06.38] 可以有单篇文线的举例
[07:06.38 - 07:07.64] 但也要有盖火
[07:07.64 - 07:09.72] 不应该全部有灵灵心心的
[07:09.72 - 07:11.06] 单篇文线举例构成
[07:11.06 - 07:12.42] 但是如果同行
[07:12.42 - 07:13.88] 已经把领域的相关问题
[07:13.88 - 07:14.72] 给解决掉了
[07:14.72 - 07:17.06] 那你同样没有开展研究的必要了
[07:17.06 - 07:17.62] 对吧
[07:17.62 - 07:18.16] 所以
[07:18.16 - 07:18.96] 第四句话
[07:18.96 - 07:20.14] 你会看见出现了
[07:20.14 - 07:20.56] 好ever
[07:20.56 - 07:21.80] 就说明要指出
[07:21.80 - 07:22.62] 同行研究中
[07:22.62 - 07:23.94] 还存在的问题了
[07:23.94 - 07:25.50] 因为这里涉及专业细节
[07:25.50 - 07:26.88] 所以你可以不用理解
[07:26.88 - 07:27.68] 这句话的内容
[07:27.68 - 07:30.12] 但你看本专业领域的文线时
[07:30.12 - 07:32.22] 你肯定知道是什么意思的
[07:32.22 - 07:33.16] 然后你就要注意
[07:33.16 - 07:34.06] 启动原则八
[07:34.06 - 07:36.18] 涉及批评文线缺点的时候
[07:36.18 - 07:38.14] 一定要确认是否如此
[07:38.52 - 07:39.90] 而且如果可能的话
[07:39.90 - 07:42.40] 也要通过真实世界的
[07:42.40 - 07:43.02] 判断一下
[07:43.02 - 07:44.86] 不要仅仅依赖文线的观点
[07:44.86 - 07:46.14] 你要自己考虑一下
[07:46.14 - 07:46.96] 是不是有道理
[07:46.96 - 07:47.60] 此外
[07:47.60 - 07:49.12] 还要注意原则11
[07:49.12 - 07:50.54] 避免前后打脸
[07:50.54 - 07:52.50] 因为范文先前刚刚提了
[07:52.50 - 07:53.54] 已有文线的竞展
[07:53.54 - 07:56.14] 那么肯定会说一些文线相关的优点
[07:56.14 - 07:57.78] 那这里提到缺点的时候
[07:57.78 - 07:59.74] 不能出现前后打脸的问题
[07:59.74 - 08:01.72] 所以你看这两句话的表述
[08:01.72 - 08:03.18] 之前的第三句话
[08:03.18 - 08:05.04] 提到了可逆性会大幅提高
[08:05.04 - 08:06.76] 就是原先的新锋电池
[08:06.76 - 08:07.90] 基本没有可逆性
[08:07.90 - 08:09.14] 通过这种方式
[08:09.14 - 08:10.52] 大幅提高了可逆性
[08:10.96 - 08:12.54] 但是之后的第四句话
[08:12.54 - 08:13.94] 提到了这种方式
[08:13.94 - 08:15.18] 还是有一定限制
[08:15.18 - 08:16.24] 这种限制
[08:16.24 - 08:17.40] 削弱了可逆性
[08:17.40 - 08:18.68] 这是没毛病的
[08:18.68 - 08:20.42] 因为第三句话的意思是
[08:20.42 - 08:21.66] 可逆性大幅提升
[08:21.66 - 08:23.96] 可逆性相比过去有大幅提升
[08:23.96 - 08:26.22] 不代表他没有进一步提升的可能性
[08:26.22 - 08:27.54] 就是蜂顶了
[08:27.54 - 08:28.64] 第四句话提到
[08:28.64 - 08:30.48] 因为这种欠入脱出的原理
[08:30.48 - 08:32.60] 限制了他进一步提升可逆性
[08:32.60 - 08:34.24] 欠入导致的结构变化
[08:34.24 - 08:35.32] 会降低可逆性
[08:35.32 - 08:36.74] 这是没问题的
[08:36.74 - 08:39.12] 欠入一定会引起挺大的结构变化的
[08:39.12 - 08:40.30] 而且一定会降低
[08:40.30 - 08:40.84] 可逆性
[08:40.84 - 08:42.76] 否则新盟电池循环次数
[08:42.76 - 08:44.24] 都可以极万次了
[08:44.24 - 08:46.52] 即使是基于欠入脱出原理的理电池
[08:46.52 - 08:48.90] 也不能说这种频繁的欠入脱出
[08:48.90 - 08:50.40] 完全不会降低可逆性
[08:50.40 - 08:52.58] 理电池也是循环次数有限的
[08:52.58 - 08:55.00] 所以这样写是没有钱后打脸的
[08:55.00 - 08:55.66] 还有一点
[08:55.66 - 08:57.44] 要时刻注意前后关联
[08:57.44 - 08:59.94] 因为上一句讲的是欠入脱出
[08:59.94 - 09:00.98] 所以这里的问题
[09:00.98 - 09:02.90] 也是顺著欠入去讲的
[09:02.90 - 09:04.08] 你可以看到这里面
[09:04.08 - 09:05.18] 也有欠入的表述
[09:05.18 - 09:06.62] 这种写作实实
[09:06.62 - 09:07.62] 可注意这句话
[09:07.62 - 09:08.70] 要与上一句
[09:08.70 - 09:09.84] 或者上两句话
[09:09.84 - 09:10.88] 密切观脸的做法
[09:10.88 - 09:12.78] 我将其命名为原则13
[09:13.18 - 09:15.68] 同时要注意原则5的字字有观脸
[09:15.68 - 09:18.34] 范本这里既然提到了欠入脱出的问题
[09:18.34 - 09:19.60] 那钱台词就是
[09:19.60 - 09:22.44] 他之后起码要一定程度上克服这个问题
[09:22.44 - 09:23.28] 而且注意
[09:23.28 - 09:24.52] 范本这里提到了
[09:24.52 - 09:26.60] 私家盟到二家盟会产生这个问题
[09:26.60 - 09:27.70] 钱台词就是
[09:27.70 - 09:29.74] 作者也做了私家盟到二家盟
[09:29.74 - 09:31.62] 而且可以环节这个问题
[09:31.62 - 09:32.58] 等你看完全文
[09:32.58 - 09:34.18] 会发现确实如此
[09:34.18 - 09:35.74] 所以你将来写的时候
[09:35.74 - 09:37.02] 也是要注意这点
[09:37.02 - 09:38.78] 文线也不是随意点评的
[09:38.78 - 09:40.72] 不只是讲出局限就行的
[09:40.72 - 09:44.06] 这个局限还得是你之后的工作能够解决的
[09:44.06 - 09:45.16] 接著的第五句话
[09:45.16 - 09:47.06] 当你看到了MORE OVER就知道
[09:47.06 - 09:48.36] 是延续上一句话
[09:48.36 - 09:49.98] 那应该是继续再讲
[09:49.98 - 09:50.92] 以有研究的问题
[09:50.92 - 09:53.20] 同样我们不进入具体的细节分析
[09:53.20 - 09:55.24] 这里只需要注意原则13
[09:55.24 - 09:57.96] 这句话是和先前的第三句话相关的
[09:57.96 - 09:59.98] 第三句话提到了孙姓辱业
[09:59.98 - 10:02.02] 而这里也是提到了孙姓辱业
[10:02.02 - 10:05.08] 说明讲的问题是和孙姓辱业关联的
[10:05.08 - 10:07.74] 也就是说孙姓辱业虽然带来了好处
[10:07.74 - 10:08.78] 剪第3句话
[10:08.78 - 10:10.42] 但同时也带来了问题
[10:10.42 - 10:11.90] 剪第5句话
[10:11.90 - 10:12.42] 你会发现
[10:12.42 - 10:13.26] 作者无论说
[10:13.26 - 10:14.54] 以有研究取得的竞展
[10:14.54 - 10:16.58] 还是交代以有研究存在的问题
[10:16.58 - 10:18.60] 都是不忘联系电解制的
[10:18.60 - 10:20.98] 及仅扣自己的研究主题和核心共显
[10:20.98 - 10:22.18] 如果换一篇
[10:22.18 - 10:24.74] 比如是从电击材料角度入手的
[10:24.74 - 10:27.18] 那你可以预期作者在对文线分析的时候
[10:27.18 - 10:29.50] 更多就会仅扣电击材料了
[10:29.50 - 10:30.72] 同样注意原则5
[10:30.72 - 10:33.00] 这句话提到了孙姓辱业对心不利
[10:33.00 - 10:34.28] 那潜台词就是
[10:34.28 - 10:36.80] 作者可以不让心在孙姓辱业中工作
[10:36.80 - 10:39.14] 或者让心即使在孙姓辱业中工作
[10:39.14 - 10:40.06] 也没这些问题
[10:40.42 - 10:41.64] 你看完后文会发现
[10:41.64 - 10:44.08] 作者的工作是呼应到这点的
[10:44.08 - 10:47.68] 作者是采用让心不再孙姓而是减信环境中工作
[10:47.68 - 10:48.14] 此外
[10:48.14 - 10:49.52] 如果你还记得的话
[10:49.52 - 10:51.68] 之前范文在本段第二句话说
[10:51.68 - 10:54.22] 某电击在减信辱业中工作会有问题
[10:54.22 - 10:55.52] 那我这里又说
[10:55.52 - 10:58.48] 作者之后是让心在减信辱业中工作
[10:58.48 - 11:00.62] 这是不是出现前后打脸问题呢
[11:00.62 - 11:01.62] 到此为止
[11:01.62 - 11:03.44] 你就可以理解标题中的Coppling
[11:03.44 - 11:04.98] 解有这个词的由来了
[11:04.98 - 11:07.22] 明白解有电解志是什么意思了
[11:07.22 - 11:09.26] 前面第二句话既然说到
[11:09.26 - 11:10.82] 虽然减信辱业对心好
[11:10.82 - 11:11.80] 但对猛不好
[11:11.80 - 11:13.20] 第五句话提到
[11:13.20 - 11:15.00] 虽然孙姓环境对猛好
[11:15.00 - 11:16.16] 但对心又不好
[11:16.16 - 11:18.66] 所以这句理引出作者的解决思路
[11:18.66 - 11:20.26] 已经呼之预出了
[11:20.26 - 11:21.76] 那可不可以在一个电池中
[11:21.76 - 11:23.84] 让心在减信环境中工作
[11:23.84 - 11:25.78] 猛在孙姓环境中工作呢
[11:25.78 - 11:26.94] 我们继续往下看
[11:26.94 - 11:29.42] 你看到文线点评部分已经结束了
[11:29.42 - 11:30.86] 接下来作者令起了一段
[11:30.86 - 11:33.00] 你看到第四段第一句话中的
[11:33.00 - 11:34.12] Hier In-Wi这里
[11:34.12 - 11:36.02] 我们就知道作者此时要开始
[11:36.02 - 11:37.82] 引出自己的研究思路了
[11:37.82 - 11:39.98] 一般这个段落也是前研的最后一段
[11:40.40 - 11:42.38] 而且你看这句话之后的那种奖的
[11:42.38 - 11:44.30] 就是结有了二氧化猛正级
[11:44.30 - 11:45.74] 和心复级的工作条件
[11:45.74 - 11:47.20] 在一个电池单体中
[11:47.20 - 11:49.62] 让二氧化猛在酸性荣业中工作
[11:49.62 - 11:51.62] 心在减信荣业中工作
[11:51.62 - 11:54.12] 那这样就化解了读者针对作者的工作
[11:54.12 - 11:56.22] 是不是会前后打脸的质疑
[11:56.22 - 11:57.80] 所以好的新闻结构
[11:57.80 - 11:59.82] 就像沿斯和凤的卡扣结构
[11:59.82 - 12:01.48] 之前埋下的那些坑之后
[12:01.48 - 12:02.40] 都会被填满
[12:02.40 - 12:04.04] 但是不好的新闻结构
[12:04.04 - 12:05.18] 就是之前的续数
[12:05.18 - 12:06.60] 给之后作者的工作
[12:06.60 - 12:08.20] 埋了大量坑却不去填
[12:08.20 - 12:10.04] 这集我们将这篇范文中
[12:10.04 - 12:11.46] 涉及的文线点评部分
[12:11.46 - 12:12.84] 都分析完毕了
[12:12.84 - 12:13.40] 你会发现
[12:13.40 - 12:15.44] 这篇范文的文线点评部分
[12:15.44 - 12:16.74] 是基于盖扩的
[12:16.74 - 12:18.46] 盖扩了一有研究的竞展
[12:18.46 - 12:20.20] 也盖扩了还存在的问题
[12:20.20 - 12:22.56] 没有任何点评单评孤立的文线
[12:22.56 - 12:24.96] 文线点评的整体偏服也比较短
[12:24.96 - 12:27.66] 这主要是受限于投稿期刊的特征
[12:27.66 - 12:30.00] 不同的期刊是有不同的新闻特征
[12:30.00 - 12:32.20] 所以你的文章要如何写
[12:32.20 - 12:34.84] 你一定要用我教你们偷析范文的方法
[12:34.84 - 12:36.22] 用来偷析你的范文
[12:36.22 - 12:37.80] 做到自己的新闻特征
[12:37.80 - 12:39.76] 跟你们领域的范本一致就行了
[12:39.76 - 12:42.50] 而不是机械模仿我讲的这范文
[12:42.50 - 12:44.66] 我之后还会讲解其他类型的范本
[12:44.66 - 12:47.24] 包括通过AI训练也会分析范本
[12:47.24 - 12:49.30] 提供跟范本接近的参考素材
[12:49.30 - 12:50.28] 来供你写作
