[00:00.00 - 00:01.68] 有了前六次的训练基础
[05:56.54 - 05:59.48] 由于修饰地零上位的词组特别多
[05:59.48 - 06:02.68] 所以光在研究背景中交代完地零上位还不够
[06:02.68 - 06:05.46] 标题中提及的其他词会他也会交代
[06:05.46 - 06:08.40] 那到底哪些词会要交代要做铺电
[06:08.40 - 06:10.20] 哪些词会不要做铺电
[06:10.20 - 06:11.52] 你就可以这样判断
[06:11.52 - 06:13.84] 假设这个词会不做任何铺电
[06:13.84 - 06:15.10] 突然就出现了
[06:15.10 - 06:16.52] 读者会不会感到突悟
[06:16.88 - 06:18.30] 如果他不会感到突悟
[06:18.30 - 06:20.04] 那么前面就不需要铺电
[06:20.04 - 06:21.94] 但是如果会感到突悟
[06:21.94 - 06:24.26] 就觉得怎么突然冒出来这个东西了
[06:24.26 - 06:25.02] 那就要铺电
[06:25.02 - 06:27.64] 此外还有一种方法帮助你理解
[06:27.64 - 06:31.42] 你也可以认为标题中的地零上位是可充电新空气电池
[06:31.42 - 06:32.56] 加宁交电解制
[06:32.56 - 06:36.08] 这样以来作者就相当于先通过可充电电池
[06:36.08 - 06:38.02] 引出可充电新空电池
[06:38.02 - 06:40.70] 然后再通过柔信故态新空气电池
[06:40.70 - 06:42.26] 引出宁交电解制
[06:42.26 - 06:45.14] 这里的铺态完整的意思是铺态电解制
[06:45.54 - 06:48.32] 所以他就相当于宁交电解制的上位概念
[06:48.32 - 06:52.50] 但是这样以来会让标题的地零上位的时别变得非常复杂
[06:52.88 - 06:54.28] 所以具体拿种方式
[06:54.28 - 06:55.58] 你觉得更容易理解
[06:55.58 - 06:56.50] 你就用哪一种
[06:56.50 - 06:59.26] 我个人是觉得前一种方式更容易理解
[06:59.26 - 07:01.32] 所以我一直教你们的是前一种
[07:01.68 - 07:03.52] 下一句话没有引出新的概念
[07:03.52 - 07:06.00] 他还是在说柔信新空气电池的优点
[07:06.00 - 07:07.82] 和上一句话是同一个功能
[07:07.82 - 07:10.74] 这次我们第一段落分析完毕了
[07:10.74 - 07:12.22] 你们也可以看看手里的范本
[07:12.22 - 07:13.74] 有没有出现类似的情况
[07:14.12 - 07:15.80] 就是标题中的地零上位
[07:15.80 - 07:18.02] 是需要你补充上部分修饰的
[07:18.02 - 07:21.32] 比如此处真正的地零上位是柔信故态
[07:21.32 - 07:23.04] 可充电新空气电池
