[00:00.00 - 00:01.06] 继续看第二段
[02:13.22 - 02:15.58] 所以为了让人能够更具体了解
[02:15.58 - 02:17.88] 同时提供一些事实数据之称
[02:17.88 - 02:20.46] 作者在下一句话举了具体的例子
[02:20.46 - 02:22.78] 你看Foiexanpo就知道了
[02:22.78 - 02:25.24] 而且这个例子里面出现了具体的数字等等
[02:25.24 - 02:27.78] 就是为了进一步支撑上面提到的问题
[02:27.78 - 02:30.16] 毕竟是指出已有研究存在的问题
[02:30.16 - 02:32.48] 如果不用更多的事实或证据支撑
[02:32.48 - 02:34.00] 别人可能会不认同
[02:34.00 - 02:35.20] 或者没有深刻印象
[02:35.20 - 02:36.90] 这里我要追加一些解释
[02:36.90 - 02:39.40] 就是你们对事实或证据两个字
[02:39.40 - 02:41.10] 不要有要文角字的理解
[02:41.10 - 02:44.50] 比如我们这里假设你能寻找到文线的研究结果支撑
[02:44.50 - 02:46.34] 而且这个文线相对也不错
[02:46.34 - 02:48.88] 比如发在顶堪或者不错的期间上
[02:48.88 - 02:50.78] 或者有挺多人引用肯定
[02:50.78 - 02:52.58] 或者类似这样的文线研究结果
[02:52.58 - 02:53.64] 有好多人报导
[02:53.64 - 02:55.98] 那我们都认为这是事实或证据
[02:55.98 - 02:58.50] 但是你如果要文角字的话
[02:58.50 - 03:00.96] 确实这也不能算做事实或证据
[03:00.96 - 03:02.54] 毕竟你没有重复过
[03:02.54 - 03:03.72] 你没有实吹过
[03:03.72 - 03:06.40] 但这个我们暂时先不要进一步声揪了
[03:06.40 - 03:08.62] 你只要理解我们说的事实或证据
[03:08.62 - 03:10.26] 是指什么样的范畴就行了
[03:10.26 - 03:13.08] 考虑到如果只是给出事实或者证据
[03:13.08 - 03:14.20] 还缺了一点东西
[03:14.20 - 03:16.16] 假设我们不仅给出证据
[03:16.16 - 03:17.92] 还告诉别人为什么会这样
[03:17.92 - 03:19.46] 是不是会更有说福利
[03:19.46 - 03:21.44] 这样他不仅看到了证据
[03:21.44 - 03:24.34] 还能理解这样的证据产生是非常合理的
[03:24.34 - 03:25.52] 就更容易说服他
[03:25.52 - 03:27.68] 所以你看到第七句话的
[03:27.68 - 03:30.40] Infect Due to事实上由于什么
[03:30.40 - 03:33.14] 就说明是针对为什么会产生这样的证据
[03:33.14 - 03:35.34] 或者这样的事实做进一步解释
[03:35.34 - 03:37.94] 也是用来说服读者和神告人的
[03:37.94 - 03:39.40] 由于这个原因是作者
[03:39.40 - 03:41.94] 自己通过低益性原理思考给出的
[03:41.94 - 03:43.30] 而且一旦说出来之后
[03:43.30 - 03:45.28] 读者也是非常容易理解的
[03:45.28 - 03:47.50] 所以是没有参考文线支撑的
[03:47.50 - 03:49.44] 因此这句话是没有参考文件
[03:49.44 - 03:51.44] 用的因为涉及专业知识
[03:51.44 - 03:53.60] 你不用理解这个原因具体是什么
[03:53.60 - 03:55.68] 你只要知道这句话的功能就行了
[03:55.68 - 03:57.46] 比如这句话是对作者
[03:57.46 - 03:59.96] 给出的证据背后的原因做进一步的解释
[03:59.96 - 04:01.58] 你只要将来在范本中
[04:01.58 - 04:02.80] 看到了类似的场景
[04:02.80 - 04:04.34] 也能识别出来相信的
[04:04.34 - 04:05.38] 语句功能就行了
[04:05.38 - 04:07.48] 类似的你会看到有的范本
[04:07.48 - 04:09.84] 作者有时也会抛出一个自己的观点
[04:09.84 - 04:11.26] 那考虑到只是一句
[04:11.26 - 04:13.54] 孤磅令的观点别人可能会不认同
[04:13.54 - 04:15.74] 他也可能会综合采用证据
[04:15.74 - 04:17.30] 家对证据的进一步解释
[04:17.30 - 04:18.60] 来利住他的观点
[04:18.60 - 04:21.82] 下一句话你看到An Adison此外
[04:21.82 - 04:23.30] 就能意识到这句话
[04:23.30 - 04:26.04] 其实还是属于解释证据背后的原因的范囲
[04:26.04 - 04:28.14] 所以和上一句话是同一个功能
[04:28.14 - 04:29.98] 这句话不是简单的通过
[04:29.98 - 04:32.06] 第一性原理脑补就能得出的原因
[04:32.06 - 04:34.14] 所以是来自文线中的
[04:34.14 - 04:35.58] 因此引用了相关文线
[04:35.58 - 04:38.42] 同样你不用理解这些句子具体是什么意思
[04:38.42 - 04:40.46] 因为你分析的是你自己的范文
[04:40.46 - 04:43.66] 自己的范文你肯定能看明白什么意思的
[04:43.66 - 04:45.66] 所以你只要用我是平中奖的方法
[04:45.66 - 04:47.30] 去分析你的文线就行了
[04:47.30 - 04:48.32] 比如你能明白
[04:48.32 - 04:50.36] 为什么他有一些地方引文线
[04:50.36 - 04:52.50] 为什么有一些地方没有引文线
[04:52.50 - 04:54.76] 下一句你看到 regarding什么意思
[04:54.76 - 04:59.16] 关于什么问题你就知道此时他很可能要讲另外一件事情了
[04:59.16 - 05:01.94] 回顾先前我们讲的第二段的前三句话
[05:01.94 - 05:04.76] 你会发现前三句话是交代了两个问题
[05:04.76 - 05:07.60] 然后此处正好对著的就是第二处问题
[05:07.60 - 05:11.00] 你看第三句话提到的第二个问题是关于An Adison Efficiency
[05:11.00 - 05:12.56] 能量效率的
[05:12.56 - 05:15.66] 那你看此处第九句话同样提到了An Adison Efficiency
[05:15.66 - 05:18.12] 前半句说的是关于能量效率的问题
[05:18.12 - 05:20.28] 所以看到这里也应该意识到
[05:20.28 - 05:23.70] 那之前的几句话也就是涉及问题描述的第六句话
[05:23.70 - 05:27.40] 到第八句话讲的就是先前总结的第一个问题了
[05:27.40 - 05:28.48] 也确实如此
[05:28.48 - 05:29.96] 比如第六句话提及
[05:29.96 - 05:33.14] 故态新空气电池的秀命原小于电击的秀命
[05:33.14 - 05:34.50] 第七句话提到了
[05:34.50 - 05:37.26] 半开放的结构会严重恶化电池的秀命
[05:37.26 - 05:41.42] 第八句话提到了高的氧溪出电位会导致电池的早期十小时
[05:41.42 - 05:43.78] 这三句讲的其实是同一个事情
[05:43.78 - 05:46.66] 就是第2段第2句话总结出的第一个问题
[05:46.66 - 05:50.52] 几目前的固态新空气电池的工作秀命还极其有限
[05:50.92 - 05:52.40] 而且这里你有体会到了
[05:52.40 - 05:54.88] 这三句话其实都在讲电池的秀命短
[05:54.88 - 05:57.24] 但是他们的表述方法是不一样的
[05:57.24 - 05:59.86] 就是使用了同意表达来表示同样的含义
[05:59.86 - 06:01.50] 避免表述太过单调
[06:01.50 - 06:03.08] 让人阅读皮牢
[06:03.08 - 06:06.34] 这次你能发现这里是点心的总分结构
[06:06.34 - 06:07.94] 先总结出两个问题
[06:07.94 - 06:10.34] 再说了大部分文线的努力方向
[06:10.34 - 06:12.50] 接著在针对以上两个问题
[06:12.50 - 06:16.28] 主义讲解为什么大部分文线的思路无法解决这两个问题
[06:16.68 - 06:18.88] 而且在具体主义偷夕问题之前
[06:18.88 - 06:21.52] 同样也做过一个类似总结性质的概括
[06:21.52 - 06:23.34] 就是第五句话其他的作用
[06:23.34 - 06:28.04] 同样是先总结了一下为什么大部分文线的思路无法解决这两个问题
[06:28.04 - 06:30.12] 这是带有作者观点性的总结
[06:30.12 - 06:31.48] 所以没有文线支撑
[06:31.48 - 06:35.82] 而且此类表述你要注意是极其容易引起人攻击的
[06:35.82 - 06:39.66] 所以作者后面就采用证据家里有的方式立著这个观点
[06:39.66 - 06:42.06] 从第六句开始就进行分的部分了
[06:42.06 - 06:45.16] 产明为什么一右的工作还没有办法解决这两个问题
[06:45.16 - 06:48.06] 第六到第八句是针对第一个问题展开的
[06:48.06 - 06:51.08] 从第九句开始就针对第二个问题展开了
[06:51.08 - 06:53.20] 这里先交代了针对第二个问题
[06:53.20 - 06:55.62] 大部分研究的具体解决思路是什么
[06:55.62 - 07:00.94] 下一句话你看到好ever就知道这里要指出这些一右研究的局限了
[07:00.94 - 07:03.90] 从后半句话也能看出这里存在天花板的意思
[07:04.28 - 07:06.22] 注意这里的字字有关联原则
[07:06.22 - 07:08.48] 既然你说一右工作存在天花板
[07:08.48 - 07:11.84] 那意思就是范文之后的工作要打破这个天花板
[07:11.84 - 07:14.88] 这个数值是要超过过去报导的最高的数值
[07:14.88 - 07:17.10] 所以你得确认是否数值
[07:17.10 - 07:20.66] 如果你写论文的话要注意这点下一句话
[07:20.66 - 07:24.92] 你看到verfor因此就知道作者分析完这些问题之后
[07:24.92 - 07:26.74] 就要抛出解决思路了
[07:26.74 - 07:30.52] 如果你还吃不准这个解决思路是针对第二个问题的解决思路
[07:30.52 - 07:33.20] 还是针对以上两个问题共同的解决思路
[07:33.20 - 07:34.48] 你可以继续往后看
[07:34.48 - 07:36.74] 你看到 lifetime and energy efficiency
[07:36.74 - 07:40.80] 受命和能量效率就知道是针对以上两个问题的解决思路
[07:40.80 - 07:43.40] 按的之前的秀明就是针对第一个问题
[07:43.40 - 07:46.06] 按的之后的能量效率是第二个问题
[07:46.06 - 07:48.86] 下一句话你看到开头提及的应该更多关注
[07:48.86 - 07:51.32] 就知道它和上面一句话是同样的含意
[07:51.32 - 07:53.14] 也是说的作者的解决思路
[07:53.14 - 07:55.52] 这次第二段就完毕了
[07:55.52 - 07:59.04] 是很典型的总分家解决思路收尾的文线点评解购
[07:59.04 - 08:01.14] 而且在讨论分论点的时候
[08:01.14 - 08:03.62] 你会发现里面又欠套了总分的解购
[08:03.62 - 08:05.54] 所以接著在本期作业中
[08:05.54 - 08:08.52] 你们可以重点观察你们范文中的文线点评部分
[08:08.52 - 08:10.38] 它是否存在总分解购
[08:10.38 - 08:11.16] 另外看一下
[08:11.16 - 08:14.56] 你能否识别出范本中的水泥部分和专快部分
[08:14.56 - 08:17.72] 你不用逐字逐句去分析这句话是什么意思
[08:17.72 - 08:19.96] 你只要能识别出卖落结构
[08:19.96 - 08:23.96] 能区分文线点评中的水泥部分和专快部分就行了
[08:23.96 - 08:27.40] 当然如果你要完全照班这个范本中的话数
[08:27.40 - 08:30.94] 尤其是其中点评大部分文线做了什么的这种话数
[08:30.94 - 08:31.84] 一定要谨慎
[08:31.84 - 08:35.86] 它是用的是这个细分研究领域确实存在这个现象的情况
[08:36.50 - 08:39.18] 比如这个细分研究领域的工作刚开始
[08:39.18 - 08:42.14] 长会出现大部分人只关注了某个问题
[08:42.14 - 08:44.76] 而其他同样重要的问题关注的教授
[08:44.76 - 08:46.34] 甚至没有关注的现象
[08:46.78 - 08:50.52] 或者就是虽然这个细分研究领域已经开始了一段时间
[08:50.52 - 08:51.66] 但由于某种原因
[08:51.66 - 08:54.58] 导致确实大部分人都只关注了问题A
[08:54.58 - 08:57.68] 而对于解决领域问题相关的其他同样重要的问题
[08:57.68 - 08:59.44] 避和非很少有人关注
[08:59.44 - 09:01.16] 就有些像是木同理论
[09:01.64 - 09:03.62] 大家都在关注木同的某一块板
[09:03.62 - 09:06.12] 导致那块板已经搞得够长了
[09:06.12 - 09:08.38] 但那些决定木同能装多少水的
[09:08.38 - 09:09.74] 更短的板关注度少
[09:09.74 - 09:12.90] 所以你要提醒别人要关注那两块短的板
[09:12.90 - 09:15.92] 那两块短的板才决定了木同装水的量
[09:15.92 - 09:17.98] 意思就是长的板已经够长了
[09:17.98 - 09:19.42] 但是短的板还不行
[09:19.42 - 09:21.50] 导致木同还是没法装水多
[09:21.50 - 09:23.18] 在范本质感里中
[09:23.18 - 09:24.58] 双功能空气摧画电机
[09:24.58 - 09:25.86] 就是那块长的板
[09:25.86 - 09:27.86] 它的秀面已经够长了
[09:27.86 - 09:30.64] 而期间半开放结构的限制因素就是短板之一
[09:30.64 - 09:33.50] 它导致了木同整体装水量还是无法提升
[09:33.50 - 09:35.46] 但是这块关注的人较少
[09:35.46 - 09:38.36] 但如果这个细分研究领域已经发展了一段时间
[09:38.36 - 09:40.76] 往往每个问题都挺多人关注的
[09:40.76 - 09:42.14] 就不是和用这种方法
[09:42.14 - 09:45.20] 所以你们学的时候更主要是要学 PoC
[09:45.20 - 09:47.16] 怎么去 PoC出它这个卖落
[09:47.16 - 09:48.32] PoC出结构
[09:48.32 - 09:49.92] 而不是照班它的画素
[09:49.92 - 09:53.26] 只要能 PoC出文线点评部分的结构特点就行了
[09:53.66 - 09:56.66] 因为只有你 PoC出更多的文线点评结构特点
[09:56.66 - 09:59.04] 你才知道将来针对你研究的那个问题
[09:59.04 - 10:01.36] 更适合采用什么样的论证结构
[10:01.36 - 10:02.92] 当然通过后期的训练
[10:02.92 - 10:06.62] 也会将你如何让AI给你生成几套不同的论证结构
[10:06.62 - 10:07.68] 给你参考
[10:07.68 - 10:11.64] 但你只有能够对照范本学会 PoC范本的文线点评结构
[10:11.64 - 10:14.54] 你才知道这些结构中哪套更适合你
[10:14.54 - 10:17.24] 或者如何把结构修改成适合你的结构
[10:17.24 - 10:19.00] 所以你更多适合参考的
[10:19.00 - 10:20.60] 其实是文线点评的结构
[10:20.60 - 10:22.38] 其次才是具体的画素
[10:22.38 - 10:24.70] 尤其注意画素并不能无脑召班
[10:24.70 - 10:27.18] 当然有的画素是可以参考的
[10:27.18 - 10:29.40] 比如这个领域还存在哪些问题
[10:29.40 - 10:31.96] 针对这些问题别人开展了什么样的工作
[10:31.96 - 10:34.28] 最后你怎么引出思路的画素
[10:34.28 - 10:37.52] 这些画素你会发现不同范本说的很类似
[10:37.52 - 10:39.10] 基本上等你看多了
[10:39.10 - 10:41.08] 会发现一般也不会超过十种
[10:41.08 - 10:44.76] 就基于那么常见的两三种扩展出的同意表达
[10:44.76 - 10:48.22] 其次我这里在引出文线点评的一个核心原则
[10:48.22 - 10:50.42] 文线点评的水泥专快比例合适
[10:50.42 - 10:51.82] 这里的每个原则
[10:51.82 - 10:53.66] 我都没有参考过其他教材
[10:53.66 - 10:56.00] 完全是我自己总结出来的
[10:56.00 - 10:57.12] 好的文线点评部分
[10:57.12 - 10:59.32] 它是由水泥加专快构成的
[10:59.32 - 11:01.18] 而且水泥和专快的比例合适
[11:01.18 - 11:03.86] 你可以把文线点评想像成是气墙
[11:03.86 - 11:06.46] 你光有专快是气不出一堵强的
[11:06.46 - 11:09.38] 但你也不可能完全靠水泥来气成一堵强
[11:09.38 - 11:12.30] 这一堵强其中是由专快作为主体
[11:12.30 - 11:14.66] 但是水泥沾接了这一块块的专快
[11:14.66 - 11:16.68] 最终形成了完整的一堵强
[11:16.68 - 11:18.64] 像这种基于文线的观点
[11:18.64 - 11:19.68] 文线的证据
[11:19.68 - 11:20.80] 文线的数据
[11:20.80 - 11:21.80] 文线的结论
[11:21.80 - 11:23.44] 进行语句组织的
[11:23.44 - 11:24.64] 就相当于是专快
[11:24.64 - 11:26.02] 比如这里提到
[11:26.02 - 11:28.38] 空气电机的秀明能超过800小时
[11:28.38 - 11:31.02] 这肯定不能是作者自己张口就来的
[11:31.02 - 11:32.92] 所以引用了文线六作为支撑
[11:32.92 - 11:35.92] 也相当于对文线六的研究结果直接转数
[11:35.92 - 11:38.10] 并没有天家作者本人的观点
[11:38.10 - 11:39.52] 这种就属于专快
[11:39.52 - 11:42.02] 那为什么文线六领在前半聚商
[11:42.02 - 11:43.80] 不是引在整聚上呢
[11:43.80 - 11:46.30] 因为后半聚化是作者自己盖扩的
[11:46.30 - 11:48.32] 它是根据前半聚化得出的结论
[11:48.32 - 11:50.58] 还记得它先前总结的一句话吧
[11:50.58 - 11:52.42] 它提出了两个问题之后
[11:52.42 - 11:54.34] 就说要解决以上问题
[11:54.34 - 11:57.82] 要把新空气电池作为一个整体优化才行
[11:57.82 - 12:00.16] 意思不能只优化其中的一个部件
[12:00.16 - 12:03.04] 所以这句话中通过引用文线支撑
[12:03.04 - 12:05.04] 单个空气电机部件的秀明
[12:05.04 - 12:06.74] 已经超过800小时了
[12:06.74 - 12:08.52] 但是故态新空气电池的秀明
[12:08.52 - 12:09.78] 远远不到这个时间
[12:09.78 - 12:11.90] 秀明现在其他问题是平景
[12:11.90 - 12:14.92] 光优化空气电机的秀明是不够的了
[12:14.92 - 12:17.94] 但引用的文线只是体现空气电机的秀明
[12:17.94 - 12:19.28] 大于800小时
[12:19.28 - 12:20.86] 并没有说这个800小时
[12:20.86 - 12:23.10] 远大于故态新空气电池的秀明
[12:23.10 - 12:25.44] 也就是故态新空气电池的秀明
[12:25.44 - 12:27.16] 远低于800小时
[12:27.16 - 12:29.78] 后半聚化是作者自己从800小时
[12:29.78 - 12:31.56] 这个数据中推论出的结论
[12:31.56 - 12:33.04] 所以没有引用文线
[12:33.04 - 12:35.24] 如果文线引用这句话的最后
[12:35.24 - 12:37.46] 就有点像把别人没有说过的话
[12:37.46 - 12:39.18] 强加成是别人说的
[12:39.18 - 12:42.30] 因为读者会物以为文线6也提到了后半聚化
[12:42.30 - 12:44.90] 这种不是简单的针对文线的转数
[12:44.90 - 12:46.70] 你就可以理解为是水泥
[12:46.70 - 12:49.02] 它一般有作者自己体谅的观点
[12:49.02 - 12:50.96] 或者作者自己推论出的结论
[12:50.96 - 12:52.98] 并不是文线直接说的
[12:52.98 - 12:53.52] 类似的
[12:53.52 - 12:56.26] 这句话引了文线期也属于专快部分
[12:56.26 - 12:57.98] 因为这句话表述的内容
[12:57.98 - 13:00.72] 也不可能是作者自己张口就能来的
[13:00.72 - 13:03.42] 或者说不是作者自己能够推理出的结论
[13:03.42 - 13:06.82] 关于高的反应电位会在因极产生复反应
[13:06.82 - 13:09.48] 导致空气电击降解和电池思效
[13:09.48 - 13:12.38] 这个作者如果不做实验是不知道的
[13:12.38 - 13:14.44] 所以他要引用文线期作为支撑
[13:14.44 - 13:15.72] 这里引在最后
[13:15.72 - 13:18.54] 就说明这些结论都是可以从文线期货的
[13:18.54 - 13:21.24] 因此基本上是文线工作的直接转数
[13:21.24 - 13:21.74] 注意
[13:21.74 - 13:24.14] 这里说的针对文线工作的直接转数
[13:24.14 - 13:26.78] 不是说文线里有一模一样的原话
[13:26.78 - 13:28.66] 而是说你从文线的表述
[13:28.66 - 13:30.42] 或者文线的实验结果中
[13:30.42 - 13:32.06] 能直接得到这样的结论
[13:32.06 - 13:34.02] 他与水尼的区别主要是
[13:34.02 - 13:35.26] 针对这些结论
[13:35.26 - 13:36.94] 你有没有做进一步的推演
[13:36.94 - 13:38.76] 比如你之后的推演内容
[13:38.76 - 13:41.32] 是作者的实验结果中没有明确提及的
[13:41.32 - 13:43.62] 或者作者也没有表述过相关语句
[13:43.62 - 13:45.58] 那就有可能是水尼部分了
[13:45.58 - 13:47.42] 最典型的谁等人做了什么
[13:47.42 - 13:48.26] 就是居专快
[13:48.26 - 13:49.72] 但有一些表述
[13:49.72 - 13:51.66] 比如我先前举例的两句话
[13:51.66 - 13:54.42] 虽然没有直接指名到性是谁做的
[13:54.42 - 13:56.34] 但其中高量标记部分的
[13:56.34 - 13:57.52] 也属于专快部分
[13:57.52 - 13:59.80] 你会发现这种转数的形式
[13:59.80 - 14:01.32] 或者说这种专快形式
[14:01.32 - 14:03.42] 在文线点评部分更为常见
[14:03.42 - 14:04.34] 否则你想
[14:04.34 - 14:06.54] 如果全部都是谁做了什么
[14:06.54 - 14:07.68] 谁报导了什么
[14:07.68 - 14:08.94] 谁发现了什么
[14:08.94 - 14:10.52] 一方面看起来非常单调
[14:10.52 - 14:11.58] 更重要的是
[14:11.58 - 14:14.08] 这给人感觉就像是一个不怎么动脑子的
[14:14.08 - 14:14.98] 流水上报告
[14:14.98 - 14:16.92] 而不是一个文线点评工作
[14:16.92 - 14:17.84] 这样一来
[14:17.84 - 14:20.36] 别人需要很费力地从你的流水上中
[14:20.36 - 14:22.02] 去体谅一有文线的竞展
[14:22.02 - 14:23.36] 和他们还存在的问题
[14:23.36 - 14:25.90] 那读者干嘛不自己去看文线呢
[14:25.90 - 14:28.20] 你的文线点评又起到了什么作用呢
[14:28.20 - 14:28.72] 当然
[14:28.72 - 14:30.44] 我不是说文线点评中
[14:30.44 - 14:31.56] 不能提及某某人
[14:31.56 - 14:34.52] 在必要环节也可以提及某人的具体工作
[14:34.52 - 14:36.58] 比如这是一个挺重要的工作
[14:36.58 - 14:39.36] 或者作者前面讲了一串抽象的概念
[14:39.36 - 14:41.38] 这篇文线可以很好的解释
[14:41.38 - 14:42.42] 这个抽象的概念
[14:42.42 - 14:44.68] 你有可能会说完这个抽象概念
[14:44.68 - 14:45.64] 或者总结后
[14:45.64 - 14:46.60] 举例说
[14:46.60 - 14:48.64] 例如谁等人报导了
[14:48.64 - 14:50.64] 等你看了手头范文就知道了
[14:50.64 - 14:51.56] 你可以分析一下
[14:51.56 - 14:54.02] 为什么有些地方是会重点提及人民
[14:54.02 - 14:55.76] 而其他地方不提人民
[14:55.76 - 14:57.88] 你可以观察一下提及人民的文线
[14:57.88 - 14:58.94] 而是影用有什么特征
[14:58.94 - 15:00.16] 所以在此强调
[15:00.16 - 15:01.86] 文线点评中的某一部分
[15:01.86 - 15:03.12] 到底属不属于专块
[15:03.12 - 15:05.22] 不取决于到底有没有提到人民
[15:05.22 - 15:07.48] 而是取决于他讲的这部分内容
[15:07.48 - 15:09.78] 是不是基于文线研究工作的转数
[15:09.78 - 15:11.88] 而没有过多的发挥自己的观点
[15:11.88 - 15:13.18] 或者自己额外的推论
[15:13.18 - 15:13.82] 此外
[15:13.82 - 15:15.24] 就算这东西是专块
[15:15.24 - 15:18.16] 也不代表你可以无脑随便选文线进行转数
[15:18.16 - 15:21.26] 这个专块同样是要为中心思想服务的
[15:21.26 - 15:21.50] 比如
[15:21.50 - 15:23.18] 作者在第二剧和第三剧
[15:23.18 - 15:24.28] 分别指出了目前
[15:24.28 - 15:26.06] 固态新空气电池存在的问题
[15:26.06 - 15:27.06] 而这些问题
[15:27.06 - 15:29.34] 都是通过对文线的转数引出的
[15:29.34 - 15:30.20] 属于专块的部分
[15:30.20 - 15:32.18] 比如作者第一个问题说
[15:32.18 - 15:35.04] 固态新空气电池的工作秀民严重受限
[15:35.04 - 15:36.62] 这是不能张口就来的
[15:36.62 - 15:38.38] 不做实验是不知道的
[15:38.38 - 15:39.60] 所以必须引用文线
[15:39.60 - 15:40.90] 第二个说
[15:40.90 - 15:42.98] 问题新空气电池的过电位大
[15:42.98 - 15:44.10] 能量效率低
[15:44.10 - 15:46.64] 这同样是作者不做实验不知道的
[15:46.64 - 15:48.52] 也是需要文线支持的
[15:48.52 - 15:49.90] 这两个专块涉及的问题
[15:49.90 - 15:52.18] 分别关于秀民和能量效率
[15:52.18 - 15:53.90] 恰恰是作者本文重点
[15:53.90 - 15:55.78] 需要同时解决的两大问题
[15:55.78 - 15:56.92] 而且这两大问题
[15:56.92 - 15:59.90] 你能意识到就是作者会体现在标题里的
[15:59.90 - 16:01.50] 你看一下也确实如此
[16:01.50 - 16:02.48] 换位思考
[16:02.48 - 16:04.00] 你能体会到这样安排
[16:04.00 - 16:06.58] 神搞人和读者的观感会比较好
[16:06.58 - 16:07.64] 读者看了标题
[16:07.64 - 16:09.56] 知道作者是干麻的
[16:09.56 - 16:12.22] 做者做的是可充电新空气电池
[16:12.22 - 16:14.14] 然后又知道作者的研究特色
[16:14.14 - 16:15.16] 或贡献是什么
[16:15.16 - 16:16.58] 从标题上看
[16:16.58 - 16:18.40] 核心贡献是高能量
[16:18.40 - 16:19.42] 效率和长受名
[16:19.42 - 16:21.10] 那么在看文线点平时
[16:21.10 - 16:22.60] 发现都是为让能量
[16:22.60 - 16:24.44] 效率和受名展开的
[16:24.44 - 16:26.60] 读者的整个阅读逻辑恋严没有破坏
[16:26.60 - 16:28.78] 他从标题中补著到的关键词
[16:28.78 - 16:31.08] 都可以很轻松从正文中找到
[16:31.08 - 16:31.44] 所以
[16:31.44 - 16:32.64] 如果换一个作者
[16:32.64 - 16:34.60] 他同样研究的新空气电池
[16:34.60 - 16:36.12] 但讲的是其他问题
[16:36.12 - 16:38.58] 比如希望在0下60度工作
[16:38.58 - 16:41.54] 那他就会选择其他专块进行转数了
[16:41.54 - 16:43.36] 所以专块的转数看似简单
[16:43.36 - 16:45.38] 毕竟有原始文线可以参考
[16:45.38 - 16:47.58] 但是专块的选择是要注意的
[16:47.58 - 16:48.94] 但如果只有专块
[16:48.94 - 16:50.48] 也就是文线点平部分
[16:50.48 - 16:52.10] 只有别人的文线转数
