[00:00.00 - 00:03.20] 这次隐言的前四句话我们已经主义分析完毕
[03:55.44 - 03:58.42] 然后你看看千酸电池食物的标诚电压
[03:58.42 - 04:00.22] 和能量密度到底是多少
[04:00.22 - 04:01.82] 这也就清楚了
[04:01.82 - 04:02.76] 第二点说了
[04:02.76 - 04:05.42] 大多数水系电池的循环四数还不足够
[04:05.42 - 04:06.70] 这应该是没毛病的
[04:06.70 - 04:09.16] 如果循环四数已经足够满意的话
[04:09.16 - 04:11.24] 那肯定会更大规模使用了
[04:11.24 - 04:12.70] 哪怕能量密度没那么大
[04:12.70 - 04:15.16] 也可以有很多场景使用了
[04:15.16 - 04:16.52] 而且同样你会发现
[04:16.52 - 04:17.92] 当涉及批评时
[04:17.92 - 04:19.96] 作者表示我还是比较围晚的
[04:19.96 - 04:21.00] 他用的词事
[04:21.00 - 04:21.88] 因此Fishand
[04:21.88 - 04:24.06] 而不是像有的人会用循环
[04:24.06 - 04:26.10] 能量密度特别差之类的表述
[04:26.10 - 04:28.24] 关于循环稳定性不理想的原因
[04:28.24 - 04:29.28] 作者说的是
[04:29.28 - 04:31.16] 因为有不同的致命复反应
[04:31.16 - 04:32.60] 如果你觉得太抽象
[04:32.60 - 04:34.66] 那么就看看千酸的工作原理
[04:34.66 - 04:35.90] 也能帮助理解这点
[04:35.90 - 04:37.86] 如果千酸电池的充放电
[04:37.86 - 04:40.26] 始终是完全可逆的氧化还原反应
[04:40.26 - 04:41.74] 没有任何复反应
[04:41.74 - 04:44.74] 那其实这个过程就能够持续进行下去
[04:44.74 - 04:47.40] 循环次数理论上就是无限次
[04:47.40 - 04:48.60] 之所以不好
[04:48.60 - 04:51.04] 确实是因为出现了一些致命的复反应
[04:51.04 - 04:52.88] 导致循环没法继续下去
[04:52.88 - 04:54.88] 同样你先不用纠结说
[04:54.88 - 04:57.12] 自己也知道这句话写的蛮有道理的
[04:57.12 - 04:58.34] 但是自己写不出
[04:58.34 - 05:00.88] 这个通过之后的讯号能解决的
[05:00.88 - 05:01.98] 现在你只要知道
[05:01.98 - 05:04.08] 如果以后你面前出现了一些
[05:04.08 - 05:06.26] 用于给你写作参考的素材时
[05:06.26 - 05:08.28] 你能否判断这些写作素材
[05:08.28 - 05:10.00] 是否符合写作的原则
[05:10.60 - 05:11.90] 当然判断这一步
[05:11.90 - 05:13.60] AI同样可以符住你
[05:13.60 - 05:15.38] 但是你作为最后的手们人
[05:15.38 - 05:17.94] 你的人工审合是必不可少的
[05:17.94 - 05:19.28] 当然也有很多情况
[05:19.28 - 05:20.72] 你讲述的这件事情
[05:20.72 - 05:23.38] 确实很难通过真实世界的第一性原理
[05:23.38 - 05:25.12] 思考判断是否正确
[05:25.12 - 05:26.62] 那么这种情况下
[05:26.62 - 05:29.06] 只能依赖文线支撑也是可以的
[05:29.06 - 05:30.04] 这个文线比如
[05:30.04 - 05:32.14] 你可以选择是权威的宗数
[05:32.14 - 05:34.96] 教材或者是被广泛引用任何的文线
[05:34.96 - 05:36.06] 那么这样以来
[05:36.06 - 05:37.86] 如果别人质疑你错了
[05:37.86 - 05:39.84] 就等于他也质疑那个权威的宗数
[05:39.84 - 05:42.50] 或者被广泛引用的那几篇文线也错了
[05:42.50 - 05:44.32] 这种情况在学术界发展中
[05:44.32 - 05:45.18] 确实也存在
[05:45.18 - 05:47.44] 但总比你没有任何支撑的要好
[05:47.44 - 05:49.52] 当然有人还会问到我之前举例的
[05:49.52 - 05:50.26] 辣椒的例子
[05:50.26 - 05:52.58] 如果有多篇被广泛引用的文线
[05:52.58 - 05:53.54] 但是给出了
[05:53.54 - 05:55.28] 既然不同的观点和实验结论
[05:55.28 - 05:57.00] 而且实验的条件也类似
[05:57.00 - 05:58.08] 那怎么办呢
[05:58.08 - 05:59.26] 如果碰到这种情况
[05:59.26 - 06:00.58] 我要恭喜你了
[06:00.58 - 06:02.06] 这就相当于天上掉下了一个
[06:02.06 - 06:03.54] 可以让你发表研究论文
[06:03.54 - 06:04.88] 甚至申请项目的 ID
[06:05.32 - 06:07.46] 如果你参加过我的AI项目训练营
[06:07.46 - 06:09.54] 你会发现过去我分析的许多
[06:09.54 - 06:12.04] 货批项目都是基于文线中的分析
[06:12.04 - 06:13.72] 及有人持这种观点
[06:13.72 - 06:15.18] 有人持相反观点
[06:15.18 - 06:17.22] 但他们的实验条件却很相似
[06:17.22 - 06:19.40] 那承清到底是什么情况
[06:19.40 - 06:21.20] 显然对推进领域的认知
[06:21.20 - 06:22.22] 有很大贡献
[06:22.22 - 06:23.88] 那么这种情况下
[06:23.88 - 06:26.26] 你就可以去专门开展这方面的研究工作
[06:26.26 - 06:27.40] 把他们做清楚
[06:27.40 - 06:28.26] 讲明白
[06:28.26 - 06:30.52] 为什么在同样的实验条件下
[06:30.52 - 06:31.92] 过去的文线会做出
[06:31.92 - 06:33.22] 结人不同的研究结果
[06:33.22 - 06:34.76] 到底谁对谁错
[06:34.76 - 06:36.84] 还是说像忙人摸像一样
[06:36.84 - 06:38.18] 他们都只对了一部分
[06:38.18 - 06:39.74] 如果这样的工作意义
[06:39.74 - 06:40.70] 大到一定程度
[06:40.70 - 06:41.96] 那还是特别好的
[06:41.96 - 06:43.00] 申请项目的思路
[06:43.00 - 06:45.54] 而且此类研究都非常容易开展
[06:45.54 - 06:48.26] 其实只要负限过去这些矛盾的文线就行了
[06:48.26 - 06:49.62] 在负限过程中
[06:49.62 - 06:51.14] 你就能找到思路了
[06:51.14 - 06:52.22] 等你们遇到了之后
[06:52.22 - 06:53.36] 我们再具体分析
[06:53.36 - 06:55.54] 目前我这里分析的大部分情况
[06:55.54 - 06:58.50] 基本上通过真实世界的第一性原理思考
[06:58.50 - 07:00.28] 或者通过文线、教材、
[07:00.70 - 07:01.34] 宗数的支撑
[07:01.34 - 07:03.02] 你们应该是可以讲清楚
[07:03.02 - 07:04.30] 依由领域的问题的
[07:04.30 - 07:07.22] 比如像这里提到的水系电池的这两点问题
[07:07.22 - 07:08.98] 都是很多人能理解的
[07:08.98 - 07:11.18] 也不至于引起强烈的攻击和反驳
[07:11.18 - 07:13.24] 你们只要确认自己的观点
[07:13.24 - 07:15.22] 不要和主流观点相背就行了
[07:15.22 - 07:17.28] 此处也要注意体会到
[07:17.28 - 07:19.00] 我在第一集中说的原则物
[07:19.00 - 07:20.58] 记字字有关联
[07:20.58 - 07:23.76] 你要观察泛文中写的每个单词、词词词、
[07:23.78 - 07:26.22] 是否和泛文的具体研究工作逻辑自恰
[07:26.22 - 07:28.10] 包括你们后期写作的时候
[07:28.10 - 07:29.46] 也要尤其注意这点
[07:29.46 - 07:31.50] 比如这里他提到的两个问题
[07:31.50 - 07:32.98] 竹如工作电压低
[07:32.98 - 07:34.04] 能量密度低
[07:34.04 - 07:35.16] 循环次数少
[07:35.16 - 07:36.68] 有严重的复反应存在
[07:36.68 - 07:38.14] 那么前台词就是
[07:38.14 - 07:41.68] 作者的研究工作在一定程度上解决了这些问题
[07:41.68 - 07:42.54] 也就是说
[07:42.54 - 07:44.08] 作者发展的这个电池
[07:44.08 - 07:45.98] 应该是工作电压比较高的
[07:45.98 - 07:46.98] 能量密度大的
[07:46.98 - 07:49.18] 而且因为减少了致命的复反应
[07:49.18 - 07:51.26] 使得循环次数大幅增加
[07:51.26 - 07:53.16] 否则作者提到的这些问题
[07:53.16 - 07:54.46] 他自己都没解决
[07:54.46 - 07:56.26] 那就违背了我们说的原则
[07:56.26 - 07:57.60] 他是受人移饼了
[07:57.60 - 07:59.56] 给了神搞人攻击这篇论文的理由
[07:59.56 - 08:01.18] 神搞人可以直接说
[08:01.18 - 08:02.56] 你说别人有这些问题
[08:02.56 - 08:03.60] 那你也没解决
[08:03.94 - 08:05.14] 通过这两句话
[08:05.14 - 08:06.52] 我还要引出原则11
[08:06.52 - 08:08.24] 击避免前后打脸
[08:08.24 - 08:10.22] 写到后面有的新人作者
[08:10.22 - 08:12.40] 往往会忘记之前自己说了什么话
[08:12.40 - 08:13.68] 会出现这么一种情况
[08:13.68 - 08:15.52] 之前为了引出某个东西
[08:15.52 - 08:17.08] 猛花了一阵这个东西
[08:17.08 - 08:19.42] 结果之后又为了引出后续的续数
[08:19.42 - 08:21.84] 开始说这个东西的缺点了
[08:21.84 - 08:24.02] 这个描述缺点和之前猛花的优点
[08:24.02 - 08:25.44] 都互相冲突了
[08:25.44 - 08:26.76] 你看这个范文第三句
[08:26.76 - 08:28.76] 和第四句说了水系电池的优点
[08:28.76 - 08:30.82] 提及使用不可然电截至
[08:30.82 - 08:32.48] 低成本的水系电截至
[08:32.48 - 08:33.98] 包括低的生产成本
[08:33.98 - 08:36.78] 低六句和第七句说的水系电池的缺点
[08:36.78 - 08:38.26] 猪如工作电压低
[08:38.26 - 08:39.32] 能量密度低
[08:39.32 - 08:40.46] 循环次数少
[08:40.46 - 08:41.34] 致命复反应
[08:41.34 - 08:43.02] 与之前提及的三个优点
[08:43.02 - 08:44.22] 针对的是不同围度
[08:44.22 - 08:45.46] 所以并不冲突
[08:45.46 - 08:48.48] 但是我在过去神搞和批改的学生的论文中
[08:48.48 - 08:49.78] 就会发现这样的问题
[08:49.78 - 08:51.80] 比如学生刚开始为了利住
[08:51.80 - 08:53.16] 李李子电池这个概念
[08:53.16 - 08:55.24] 说了李李子电池的各种优点
[08:55.24 - 08:56.80] 比如他的能量密度高
[08:56.80 - 08:58.28] 但因为他自己的工作
[08:58.28 - 09:00.54] 是关于高能量密度的电击材料
[09:00.54 - 09:02.64] 所以他为了引出自己的工作
[09:02.64 - 09:04.84] 就要接著说李李子电池的不足
[09:05.18 - 09:06.56] 然后不足中又提及
[09:06.56 - 09:08.54] 李李子电池的能量密度不高
[09:08.54 - 09:09.90] 甚至能量密度低
[09:09.90 - 09:12.70] 因此需要发展高能量密度的电击材料
[09:13.06 - 09:14.64] 这就属于前后打脸了
[09:14.64 - 09:15.98] 别人就看不懂了
[09:15.98 - 09:17.46] 这李李子电池的能量密度
[09:17.46 - 09:18.80] 到底是高还是低呢
[09:18.80 - 09:20.24] 这种情况就说明
[09:20.24 - 09:21.86] 他在写优点和缺点的时候
[09:21.86 - 09:23.84] 没有仔细针著每一个用词
[09:23.84 - 09:25.90] 就把他们给当作车骨录文了
[09:25.90 - 09:27.64] 很有可能就是直接负置
[09:27.64 - 09:29.12] 照搬了某个文线的表述
[09:29.12 - 09:31.52] 比如有的文线介绍李李子电池时
[09:31.52 - 09:33.16] 会说他们的能量密度高
[09:33.16 - 09:34.22] 因为他的工作
[09:34.22 - 09:36.62] 压根就不是而提提升能量密度的事情
[09:36.62 - 09:38.56] 他解决的是安全性问题
[09:38.56 - 09:40.46] 所以前面说能量密度高
[09:40.46 - 09:42.16] 也不会和之后的表述冲突
[09:42.16 - 09:43.74] 有的模仿错误的学生
[09:43.74 - 09:45.66] 就直接照搬这部分表达了
[09:45.66 - 09:48.10] 之后的文字又照搬另一篇文线的表达
[09:48.10 - 09:49.92] 等两部分和并在一起
[09:49.92 - 09:52.12] 就出现前后打脸的问题了
[09:52.12 - 09:53.54] 他自己也没识别到
[09:53.54 - 09:56.22] 包括我最近在批改一篇医学类的论文
[09:56.22 - 09:57.66] 也发现这样的问题
[09:57.66 - 09:58.68] 比如学生会说
[09:58.68 - 10:00.88] 那米材料在种流免疫疗法的优势
[10:00.88 - 10:02.84] 能够有效杀死种流细胞等
[10:02.84 - 10:04.92] 但是如果这东西真的这么好
[10:04.92 - 10:07.08] 那不是其他研究都没必要了吗
[10:07.08 - 10:09.36] 所以他接著要说那米材料的缺点
[10:09.36 - 10:11.24] 然后你顺著这个缺点看下去
[10:11.24 - 10:14.36] 就发现似乎他并不能那么有效杀伤种流细胞
[10:14.36 - 10:16.74] 还是经常能让种流细胞逃脱的
[10:16.74 - 10:19.20] 那这样就和他前面的表述冲突了
[10:19.20 - 10:20.08] 比如这句话
[10:20.08 - 10:21.68] 那米材料借到的PTT
[10:21.68 - 10:23.40] PTT和SDT
[10:23.40 - 10:25.16] 平界骑右岛ICD的能力
[10:25.16 - 10:27.22] 成功将飞沿证型冷种流
[10:27.22 - 10:29.10] 转化为可辈有效识别的
[10:29.10 - 10:30.62] T细胞严证型热种流
[10:30.62 - 10:33.00] 为种流免疫治疗电定基础
[10:33.00 - 10:34.16] 但后文你会发现
[10:34.16 - 10:36.10] 那米材料借到的这种疗法
[10:36.10 - 10:38.28] 并不是百分百能将种流细胞
[10:38.28 - 10:40.72] 变成可辈T细胞有效识别的
[10:40.72 - 10:42.74] 所以这里正确的协法应该是
[10:42.74 - 10:44.82] 在描述优势时就要有所保留
[10:44.82 - 10:45.86] 比如说
[10:45.86 - 10:47.12] 那米材料借到的疗法
[10:47.12 - 10:49.94] 在一定程度上能够将冷种流转化为热种流
[10:49.94 - 10:52.28] 但仍面临转化效率不足的挑战
[10:52.28 - 10:54.42] 这样前后就不会冲突了
[10:54.42 - 10:56.14] 你们可以结合自己手头的范本
[10:56.14 - 10:57.46] 观察优秀的范文
[10:57.46 - 10:59.40] 应该都不会有这种前后矛盾
[10:59.40 - 11:00.78] 前后冲突的表述的
[11:00.78 - 11:02.16] 最后我们会总下
[11:02.16 - 11:04.12] 本集我引出的两大新的原则
[11:04.12 - 11:05.14] 原则时
[11:05.14 - 11:07.22] 真实世界的第一性原理思考
[11:07.22 - 11:09.88] 意思是当你在论文中提出某个观点
[11:09.88 - 11:13.34] 尤其是涉及对某个领域或某种技术的评价时
[11:13.34 - 11:15.10] 不能只依赖文献怎么说
[11:15.10 - 11:16.02] 你就怎么说
[11:16.02 - 11:18.76] 而是要自己回到真实世界中去验证和思考
[11:18.76 - 11:21.32] 判断这个观点是否真的占得住脚
[11:21.32 - 11:22.46] 这种思考能力
[11:22.46 - 11:23.92] 灌穿你整个研究生涯
[11:23.92 - 11:25.96] 不只是写论文时采用的上
[11:25.96 - 11:26.78] 原则11
[11:26.78 - 11:28.16] 避免前后打脸
[11:28.16 - 11:29.16] 意思是
[11:29.16 - 11:30.10] 在写影言
[11:30.10 - 11:31.64] 乃至整篇论文的时候
[11:31.64 - 11:33.10] 你前面跨过的东西
[11:33.10 - 11:34.24] 提过的优点
[11:34.24 - 11:35.64] 后面描述缺点时
[11:35.64 - 11:37.12] 不能与知直接冲突
[11:37.12 - 11:39.44] 你要时刻清楚自己的研究工作
[11:39.44 - 11:41.04] 到底解决的是什么问题
[11:41.04 - 11:43.30] 为让这个核心去组织语言
[11:43.30 - 11:45.42] 而不是东平西偷文献表述
[11:45.42 - 11:46.70] 导致前后矛盾
[11:46.70 - 11:47.82] 缺自己都没发现
