[00:00.00 - 00:02.40] 如果你参加过我们其他的AI训练营
[04:18.40 - 04:21.10] 这范文我也在作业中提供了下载帝职
[04:21.10 - 04:23.90] 这里进入和格前眼的第一个写作原则
[04:23.90 - 04:25.32] 我命名为原则依
[04:25.32 - 04:27.40] 你会发现他写的每一句话
[04:27.40 - 04:30.32] 一定是和这个标题有直接或者渐接的关系
[04:30.32 - 04:33.70] 也就是说要么会直接提及标题中的单词
[04:33.70 - 04:35.18] 如果没直接提及
[04:35.18 - 04:37.16] 那么也一定和标题中的单词
[04:37.16 - 04:39.50] 或词组有著非常密切的联系
[04:39.50 - 04:42.24] 是为了给之后提及标题做铺电的
[04:42.24 - 04:43.74] 如果你写了一句话
[04:43.74 - 04:45.80] 但没提及任何标题中的文字
[04:45.80 - 04:48.04] 看上去和标题也没任何关系
[04:48.04 - 04:50.06] 这就会给人感觉很莫名其妙
[04:50.06 - 04:53.70] 你比对下标题看一下这句话提到了标题中的
[04:53.70 - 04:54.96] 哪个单词或者词组
[04:54.96 - 04:57.56] 是不是提到了可充放电池这个词组
[04:57.56 - 04:59.52] 所以符合我说的原则依
[04:59.52 - 05:01.26] 所以你可以看看你手头的范文
[05:01.26 - 05:02.72] 看看他的第一句话
[05:02.72 - 05:05.56] 是不是触急了标题中的某个单词或者词组
[05:05.56 - 05:06.96] 如果没触急的话
[05:06.96 - 05:08.72] 你能不能分析出这是为什么
[05:08.72 - 05:10.06] 如果你分析不出
[05:10.06 - 05:11.64] 可以把这样的文章发握
[05:11.64 - 05:13.56] 但要求是你们领域的顶堪
[05:13.56 - 05:15.54] 因为有些文章可能写的一般
[05:15.54 - 05:17.34] 但是由于审核不够严格
[05:17.34 - 05:18.64] 也被发表出来了
[05:18.64 - 05:20.96] 这些文章就不在我们学习范围内了
[05:20.96 - 05:22.38] 在讲原则二之前
[05:22.38 - 05:24.56] 我要先带你建立一个核心概念
[05:24.56 - 05:25.90] 也就是上位概念
[05:25.90 - 05:28.34] 第一句话提及的可充放电池
[05:28.34 - 05:31.24] 是作者的研究对象中最上位的一个词组
[05:31.24 - 05:32.12] 什么意思呢
[05:32.12 - 05:34.50] 作者的研究对象从标题得知识
[05:34.50 - 05:36.62] 可充放水系新猛电池
[05:36.62 - 05:40.72] 这个研究对象上位一层的概念是可充放水系新电池
[05:40.72 - 05:42.52] 我们命名为第一上位
[05:42.52 - 05:44.40] 可充放电的水系新电池
[05:44.40 - 05:45.70] 继续往上走
[05:45.70 - 05:48.42] 一层的上位概念是可充放水系电池
[05:48.42 - 05:50.18] 我们命名为第二上位
[05:50.18 - 05:51.90] 可充放电的水系电池
[05:51.90 - 05:54.56] 在往上走一层的概念是可充放电池
[05:54.56 - 05:56.16] 我们命名为第三上位
[05:56.16 - 05:58.56] 可充放电池还能继续往上走
[05:58.56 - 05:59.46] 那就是电池
[05:59.46 - 06:01.24] 我们命名为第四上位
[06:01.24 - 06:02.62] 上面这个例子中
[06:02.62 - 06:04.44] 每一层上位概念都是通过
[06:04.44 - 06:05.98] 去掉一个现定词得到的
[06:05.98 - 06:06.78] 比较直观
[06:06.78 - 06:08.64] 但并不是所有的上位概念
[06:08.64 - 06:11.18] 都是通过去掉现定词形成的
[06:11.18 - 06:13.72] 有时候核心名词本身也会发生变化
[06:13.72 - 06:15.84] 我把他命名为范仇越牵
[06:15.84 - 06:17.34] 假设你研究的是
[06:17.34 - 06:19.38] 短视频频台对农村流手而同
[06:19.38 - 06:20.40] 社交能力的影响
[06:20.40 - 06:21.40] 第一上位
[06:21.40 - 06:24.06] 短视频频台对流手而同社交能力的影响
[06:24.06 - 06:25.60] 去掉现定词农村
[06:25.60 - 06:26.64] 第二上位
[06:26.64 - 06:29.28] 短视频频台对青少年社交能力的影响
[06:29.28 - 06:30.08] 第三上位
[06:30.08 - 06:32.62] 社交媒体对青少年社交能力的影响
[06:32.62 - 06:35.88] 短视频频台越牵为上位范仇社交媒体
[06:35.88 - 06:38.76] 你看第一层是去掉现定词农村
[06:38.76 - 06:40.48] 但第二层和第三层
[06:40.48 - 06:42.10] 就不是去掉现定词了
[06:42.10 - 06:43.62] 而是核心概念本身
[06:43.62 - 06:46.36] 从一个窄范仇跳到了更宣的范仇
[06:46.36 - 06:49.22] 流手而同是青少年中的一个子群体
[06:49.22 - 06:52.14] 短视频频台是社交媒体中的一种类型
[06:52.14 - 06:54.12] 这个范文标题中的电池概念
[06:54.12 - 06:55.64] 当然也能继续往上走
[06:55.64 - 06:57.68] 比如是处能气渐之类的
[06:57.68 - 06:58.96] 不过一般情况下
[06:58.96 - 07:00.88] 当某个上位概念是标题中
[07:00.88 - 07:01.98] 没出现过的单词
[07:01.98 - 07:03.64] 就不用继续往上走了
[07:03.64 - 07:06.08] 这会涉及到进入主题的速度的问题
[07:06.08 - 07:08.08] 我们在原则三会提到
[07:08.08 - 07:09.20] 所以总结一下
[07:09.20 - 07:11.34] 上位概念的产生有两种方式
[07:11.34 - 07:12.90] 一是玻璃线定词
[07:12.90 - 07:15.84] 也就是去掉研究对象前面的修实性成分
[07:15.84 - 07:16.92] 这是最直观的
[07:16.92 - 07:18.38] 二是范仇越签
[07:18.38 - 07:20.36] 也就是某个核心名词本身
[07:20.36 - 07:22.76] 被替换成他所属的更宣范的类别
[07:22.76 - 07:25.84] 其实上位概念的时别还是挺容易的
[07:25.84 - 07:27.40] 对于线定词玻璃型的
[07:27.40 - 07:30.28] 你只要把范文的研究对象中的一些修实性词
[07:30.28 - 07:31.10] 会不断去掉
[07:31.10 - 07:33.42] 就是概念不断身为的过程了
[07:33.42 - 07:34.86] 对于范仇越签行的
[07:34.86 - 07:36.06] 你只需要问自己
[07:36.06 - 07:37.40] 我研究的这个东西
[07:37.40 - 07:38.96] 属于什么更大的类别
[07:38.96 - 07:39.82] 就能找到
[07:39.82 - 07:41.14] 如果实在拿不准
[07:41.14 - 07:42.96] 也可以让AI帮你输礼
[07:43.38 - 07:45.58] 但是这个看似简单的上位词概念
[07:45.58 - 07:48.00] 对于前年的展开是最为重要的
[07:48.00 - 07:51.04] 前年的写作本质就是从上位的概念入手
[07:51.04 - 07:53.16] 不断往下位概念推进的过程
[07:53.16 - 07:55.70] 那么当你有了名词的上位概念之后
[07:55.70 - 07:57.28] 你就可以带著这样的思路
[07:57.28 - 08:00.14] 去看一下你手头的几个范文的第一句话
[08:00.14 - 08:01.90] 看一看他们是从标题中
[08:01.90 - 08:04.08] 地级上位的概念引出的
[08:04.08 - 08:06.38] 比如是最上位的概念引出的
[08:06.38 - 08:07.48] 还是刺下位
[08:07.48 - 08:09.60] 还是最底层的概念出发的
[08:09.60 - 08:11.08] 比如这范文章你看到
[08:11.08 - 08:12.98] 是从第三上位引出的
[08:12.98 - 08:14.98] 这里就会出现我说的第二个原则
[08:14.98 - 08:16.56] 我命名为原则二
[08:16.56 - 08:18.28] 就是前年的文字序述
[08:18.28 - 08:20.02] 采用的是到金字塔结构
[08:20.02 - 08:22.30] 由序号最大的上位概念入手
[08:22.30 - 08:23.92] 最终进入最下位的
[08:23.92 - 08:25.60] 也就是科律度最细的概念
[08:25.60 - 08:27.74] 也就是上位概念的引出顺序
[08:27.74 - 08:30.66] 是按照序号从大到小的顺序排列的
[08:30.66 - 08:33.28] 首先出现的一般是序号最大的上位概念
[08:33.28 - 08:35.52] 接著进入序号叫小的上位概念
[08:35.52 - 08:37.04] 比如这范文
[08:37.04 - 08:39.10] 首先出现的是可冲放电池
[08:39.10 - 08:40.64] 也就是第三上位概念
[08:40.64 - 08:42.98] 随后是可冲放水系电池
[08:42.98 - 08:44.46] 极第二上位概念
[08:44.46 - 08:47.06] 接著是可冲放水系新猛电池
[08:47.06 - 08:49.22] 也就是本文中最下位的
[08:49.22 - 08:50.72] 科律度最细的概念了
[08:50.72 - 08:52.02] 从三降低到二
[08:52.02 - 08:53.74] 再到最细科律度的概念
[08:53.74 - 08:55.42] 有的写得不太好的文章
[08:55.42 - 08:58.28] 你发现会出现混乱的开刀车的结构
[08:58.28 - 09:00.42] 比如先出现一个中等科律度
[09:00.42 - 09:02.08] 或者说刺上位的概念
[09:02.08 - 09:04.56] 紧接著又出现一个最粗的科律度
[09:04.56 - 09:05.96] 也就是最上位的概念
[09:05.96 - 09:08.30] 最后又出现一个最细科律度
[09:08.30 - 09:09.74] 也就是最下位的概念
[09:09.74 - 09:10.98] 这就写得很混乱
[09:10.98 - 09:12.32] 对应到这范文章
[09:12.32 - 09:14.06] 就相当于作者先告诉你
[09:14.06 - 09:15.08] 水系电池很重要
[09:15.08 - 09:17.08] 接著又告诉你电池很重要
[09:17.08 - 09:19.40] 然后再告诉你新猛电池很重要
[09:19.40 - 09:21.46] 那别人如果都能被你说服
[09:21.46 - 09:22.78] 水系电池很重要
[09:22.78 - 09:24.98] 自然也就认可电池很重要了
[09:24.98 - 09:27.02] 没必要在当中又穿插告诉别人
[09:27.02 - 09:27.90] 电池很重要
[09:27.90 - 09:28.64] 也就是说
[09:28.64 - 09:30.84] 你如果是从水系电池入手
[09:30.84 - 09:32.14] 作为第一句话的
[09:32.14 - 09:33.92] 那接下来就应该直接引出
[09:33.92 - 09:35.34] 水系电池的下位概念
[09:35.34 - 09:36.98] 比如论证水系
[09:36.98 - 09:39.00] 新电池或者水系新猛电池
[09:39.00 - 09:39.84] 有研究必要
[09:39.84 - 09:41.50] 而不是反过来颠倒
[09:41.50 - 09:42.18] 又去论证
[09:42.18 - 09:43.82] 上位概念的电池很重要
[09:43.82 - 09:45.32] 那么为什么要按照
[09:45.32 - 09:46.48] 上位概念的刺序
[09:46.48 - 09:48.44] 从大到小引出呢
[09:48.44 - 09:50.16] 这主要是为了说服神告人
[09:50.16 - 09:52.04] 你做的研究是重要的
[09:52.04 - 09:53.06] 有必要的
[09:53.06 - 09:55.26] 你这个题目既然讲的是新猛电池
[09:55.26 - 09:56.10] 那前眼里
[09:56.10 - 09:59.38] 首先是不是得介绍新猛电池挺重要的
[09:59.38 - 10:00.82] 否则如果连新猛电池
[10:00.82 - 10:01.96] 都没有研究的必要
[10:01.96 - 10:04.38] 那你为了新猛电池所开展的工作
[10:04.38 - 10:06.44] 是不是也没有什么研究必要了
[10:06.44 - 10:09.32] 但如果直接介绍最下位的新猛电池概念
[10:09.32 - 10:11.82] 考虑一些大同航和读者不一定了解
[10:11.82 - 10:13.92] 所以会从上位概念介绍起
[10:13.92 - 10:15.72] 先把上位概念立住了
[10:15.72 - 10:17.80] 让人家认可上位概念的重要性
[10:17.80 - 10:19.72] 在逐步引出下位概念
[10:19.72 - 10:21.42] 如果上位概念都立不住
[10:21.42 - 10:23.64] 那下位概念更立不住了
[10:23.64 - 10:25.40] 这就有点像出出毛炉的学生
[10:25.40 - 10:28.52] 会先自保家门说自己是什么门派的
[10:28.52 - 10:29.98] 另外有人可能会问
[10:29.98 - 10:31.72] 这个标题中最大上位的
[10:31.72 - 10:33.24] 不是第四上位的电池吗
[10:33.24 - 10:35.22] 为什么不从电池讲起
[10:35.22 - 10:37.92] 而是从比第四上位第一位的第三上位的
[10:37.92 - 10:39.24] 可充放电池讲起
[10:39.24 - 10:41.50] 这主要是考虑进入正题的速度
[10:41.50 - 10:44.04] 也就是引出了我这里说的第三个原则
[10:44.04 - 10:45.64] 我命名为原则三
[10:45.64 - 10:48.18] 即进入正题的速度要是中不一过慢
[10:48.18 - 10:50.98] 但如果大同航不太了解你研究的对象
[10:50.98 - 10:52.78] 那进入速度也不能太快
[10:53.22 - 10:56.54] 如果你从最高上位也就是第四上位的电池引出
[10:56.54 - 10:58.68] 那么你先得交代电池重要
[10:58.68 - 11:01.80] 接著在交代第三上位的可充放电池重要
[11:01.80 - 11:04.90] 然后在交代第2上位的可充放水系电池
[11:05.30 - 11:07.76] 最后才到你真正做的可充放水系
[11:07.76 - 11:08.44] 新猛电池
[11:08.88 - 11:11.40] 这样的话整个论证链调太长了
[11:11.40 - 11:13.00] 可能当你进入正题的时候
[11:13.00 - 11:15.48] 神告人的耐心已经被消磨掉了
[11:15.48 - 11:17.68] 等你手头拿了几份顶看的范文之后
[11:17.68 - 11:18.80] 你也可以像我这样
[11:18.80 - 11:20.10] 标籍出上位概念
[11:20.10 - 11:22.72] 看一看范本是经过了几个上位概念
[11:22.72 - 11:25.20] 到达了他真正要讨论的那个研究对象
[11:25.56 - 11:26.60] 比如这个范本
[11:26.60 - 11:29.08] 你会发现经过的是两层上位概念
[11:29.08 - 11:31.68] 一般两层上位概念是比较常见的
[11:31.68 - 11:33.18] 三层已经偏多了
[11:33.18 - 11:36.08] 如果要到四层那就属于过度太久了
[11:36.08 - 11:38.24] 当然有得快保性质的研究论文
[11:38.24 - 11:40.14] 进入正题的速度会更快
[11:40.14 - 11:43.98] 甚至一层上位概念就已经触急标题的研究对象了
[11:43.98 - 11:45.20] 比如对应这个范本
[11:45.20 - 11:48.44] 就可能第一句话直接提及可充放的水系电池
[11:48.44 - 11:50.22] 或者可充放的水系电池重要
[11:50.22 - 11:52.20] 然后下一句话就直接触急了
[11:52.20 - 11:54.56] 最底层的可充放水系新猛电池了
[11:54.56 - 11:56.52] 或者连一层上位概念都没有
[11:56.52 - 11:58.78] 直接就触急标题研究对象了
[11:58.78 - 11:59.84] 对应到范本
[11:59.84 - 12:01.34] 就是第一句话直接说
[12:01.34 - 12:03.56] 可充放的水系新猛电池重要
[12:03.56 - 12:05.64] 但如果你要快速进入正题
[12:05.64 - 12:08.30] 甚至没有上位概念铺电就进入正题
[12:08.30 - 12:10.24] 那要记得我原则三中说的
[12:10.24 - 12:11.98] 你要判断一下你的大同行
[12:11.98 - 12:13.32] 了不了解你的研究对象
[12:13.32 - 12:15.08] 如果他们不太了解的话
[12:15.08 - 12:17.88] 那你还是要通过上位概念做一个铺电的
[12:17.88 - 12:20.38] 因为神秘搞见的人有一部分是小同行
[12:20.38 - 12:22.86] 小同行是清楚你的研究对象的
[12:22.86 - 12:25.92] 比如他们知道可充放水系新猛电池是什么
[12:25.92 - 12:27.14] 也认可重要性
[12:27.14 - 12:29.32] 但问题更多的人是大同行
[12:29.32 - 12:31.30] 它可能研究的是水系电池
[12:31.30 - 12:33.10] 但不是水系新猛电池
[12:33.10 - 12:35.74] 甚至都有可能研究的不是水系电池
[12:35.74 - 12:37.48] 比如是李李子电池之类
[12:37.48 - 12:40.26] 你如果跑上来就说水系电池重要
[12:40.26 - 12:42.58] 甚至是水系新猛电池重要
[12:42.58 - 12:43.86] 他们不见得认可
[12:43.86 - 12:46.60] 所以你得先花一定时间让他们认可
[12:46.60 - 12:49.52] 所以这一篇范文从可充放电电池引出
[12:49.52 - 12:50.38] 就是这个原因
[12:50.38 - 12:52.52] 它从可充放电电池引出
[12:52.52 - 12:54.10] 在利族水系电池
[12:54.10 - 12:56.32] 最终引出水系新猛电池
[12:56.82 - 12:57.22] 当然
[12:57.22 - 12:59.04] 如果你的讨论对象本身
[12:59.04 - 13:00.12] 受重面就很广
[13:00.12 - 13:01.14] 或者特别重要
[13:01.50 - 13:02.32] 大家都认可
[13:02.32 - 13:04.72] 那么往往第一句就直接抵达底层
[13:04.72 - 13:06.98] 没有任何上位概念铺电了
[13:06.98 - 13:09.72] 比如你做出来了十秒钟的可控和剧变
[13:09.72 - 13:11.80] 也就是我们常说的人造太阳
[13:11.80 - 13:12.56] 那不得了
[13:12.56 - 13:14.56] 你不要去铺电任何什么
[13:14.56 - 13:16.60] 能源危机之类的上位概念了
[13:16.60 - 13:19.08] 你第一句直接就说人工和剧变就行
[13:19.08 - 13:20.84] 所谓自月少试月大
[13:20.84 - 13:23.00] 你会发现真正重放弃的成果
[13:23.00 - 13:24.32] 其实铺电月少
[13:24.32 - 13:26.48] 铺电多的往往是对于自身工作
[13:26.48 - 13:27.18] 不太自信
[13:27.58 - 13:29.08] 所以要通过不断强调
[13:29.08 - 13:30.34] 上位领域的重要性
[13:30.34 - 13:32.60] 来显得自己的工作也是重要的
[13:32.60 - 13:34.52] 但如果足够自信的成果
[13:34.52 - 13:36.20] 不需要强调上位领域
[13:36.20 - 13:38.12] 他自己就开脱了一个领域
[13:38.12 - 13:41.04] 但由于大部分成果都没重放到这种量级
[13:41.04 - 13:42.06] 所以你会发现
[13:42.06 - 13:45.10] 基本都会经过两层左右的上位概念铺电
[13:45.10 - 13:47.86] 才进入作者真正的研究对象的
[13:47.86 - 13:48.10] 此外
[13:48.10 - 13:49.18] 针对这个范本
[13:49.18 - 13:51.36] 如果从最上位的电池概念出发
[13:51.36 - 13:52.70] 还有一个问题是
[13:52.70 - 13:54.32] 有的论证会显得没有必要
[13:54.32 - 13:55.48] 因为大家本身
[13:55.48 - 13:56.86] 就对这个概念的重要性
[13:56.86 - 13:58.58] 已经有了普遍的共识了
[13:58.58 - 14:00.28] 没有必要再花偏辅论证了
[14:00.28 - 14:01.56] 比如大家都知道
[14:01.56 - 14:03.58] 可充放的电池是很重要的
[14:03.58 - 14:04.54] 你看你用的手机
[14:04.54 - 14:06.94] 他的电池都是需要可充放电的
[14:06.94 - 14:09.22] 电动车当然也是需要能充电的
[14:09.22 - 14:11.58] 所以你直接说可充放电电池的重要性
[14:11.58 - 14:12.84] 大家已经能认可了
[14:12.84 - 14:14.48] 没有必要再先去讨论
[14:14.48 - 14:16.04] 他上位概念的电池重要
[14:16.04 - 14:17.38] 然后再去讨论
[14:17.38 - 14:19.00] 这个电池中的某一个分支
[14:19.00 - 14:20.78] 可充放电的电池重要
[14:20.78 - 14:23.10] 你直接从可充放电池讲起就行
[14:23.10 - 14:25.52] 何况即使从可充放电池讲起
[14:25.52 - 14:26.78] 要进入你的正题
[14:26.78 - 14:29.16] 都还要在经过一到两个上位概念的
[14:29.16 - 14:30.00] 你还得考虑
[14:30.00 - 14:31.94] 这会不会消磨评审人的耐心
[14:31.94 - 14:33.96] 我再举例个医学类的文章
[14:33.96 - 14:35.86] 比如你这篇论文是关于
[14:35.86 - 14:37.80] 驻主线来的某种把向治疗方法
[14:37.80 - 14:39.96] 那其实第一句话就可以直接
[14:39.96 - 14:41.44] 从主线来的危害引出
[14:41.88 - 14:43.98] 没有必要先说入线来的上位词
[14:43.98 - 14:44.86] 癌症的危害
[14:44.86 - 14:46.72] 然后再说入线来的危害
[14:46.72 - 14:48.90] 因为神搞人更关心的是你究竟
[14:48.90 - 14:49.96] 怎么治疗主线来
[14:49.96 - 14:52.32] 而不是要你科普癌症的危害很大
[14:52.76 - 14:55.14] 现在普通民众都很清楚癌症的危害
[14:55.14 - 14:57.18] 包括入线来的危害都很清楚
[14:57.54 - 15:00.30] 所以直接从主线来引入已经足够了
[15:00.30 - 15:03.08] 除非你这篇论文的最细科例度就是入线来
[15:03.08 - 15:05.52] 那这种情况下你只有一个上位概念
[15:05.52 - 15:06.30] 就是癌症
[15:06.30 - 15:09.18] 那也有可能从癌症跑论到入线来
[15:09.18 - 15:10.54] 对应到这篇范文也是
[15:10.54 - 15:13.80] 如果这篇范文的最细科例度就是个可充放电池
[15:13.80 - 15:16.38] 那也许第一句话确实也可以引出电池
[15:16.38 - 15:20.36] 这样一来别人知道电池里面分一次电池和二次可充放电池
[15:20.78 - 15:24.20] 然后第二句话在明确可充放电池在整个电池里面的
[15:24.20 - 15:24.84] 战彼怎么样
[15:24.84 - 15:28.26] 但如果你的正题上方已经有三到四个上位概念
[15:28.26 - 15:30.08] 那你就可以做一个选择
[15:30.08 - 15:33.80] 不一定要从最高的第四或者第五上位概念讨论期
[15:33.80 - 15:36.10] 完全可以从第三甚至第2开始
[15:36.10 - 15:37.50] 构建导金字塔结构
[15:37.50 - 15:39.76] 同样的道理有的同学可能会发现
[15:39.76 - 15:42.20] 这篇范文从第三上位到第2上位
[15:42.20 - 15:43.62] 然后就直接到正题了
[15:43.62 - 15:45.38] 没有第一上位也是同样的原因
[15:45.38 - 15:47.52] 也是考虑如果在讨论第一上位
[15:47.52 - 15:48.92] 也是过度太久了
[15:48.92 - 15:50.22] 所以到这里你会明确
[15:50.22 - 15:53.44] 不是所有上位都必须按顺序主义讨论道的
[15:53.44 - 15:56.94] 有的上位概念如果不讨论也不妨碍说服神搞人
[15:56.94 - 15:58.62] 那就可以果断略去
[15:58.62 - 16:02.62] 比如这篇范文没必要从水系电池讨论到水系新电池
[16:02.62 - 16:04.24] 再到水系新猛电池
[16:04.24 - 16:07.06] 而是可以直接从水系电池到新猛电池
[16:07.06 - 16:09.62] 因为新猛电池本身就是水系电池中
[16:09.62 - 16:11.18] 大家非常熟知的一个体系
[16:11.56 - 16:14.36] 比如我们常用的五号电池就是新猛电池
[16:14.36 - 16:15.84] 当然他不能充放电
[16:15.84 - 16:17.40] 充放电的当时还没有
[16:17.76 - 16:20.20] 如果你吃不准哪个上位概念可以省去
[16:20.20 - 16:21.06] 哪个不可以
[16:21.06 - 16:23.54] 那么你可以把各种排列方式都列下来
[16:23.54 - 16:25.98] 自己对比下就能区分优烈了
